AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-948,5034,-1024,-1983,309,-53,-2560
-734,-3356,14928,-86,629,-284,-2576
-1306,-262,8456,-143,-394,135,-2560
2428,2422,2064,-667,493,-117,-2576
596,-966,12314,542,-92,-263,-2576
-2040,-1872,11604,370,-98,-32,-2560
1696,418,6820,-228,144,-163,-2560
-198,-588,7706,-158,359,-159,-2576
2376,1138,3830,-460,-16,-231,-2544
774,-4564,12556,1055,-53,-194,-2544
64,1132,6330,-1011,429,-175,-2560
914,886,5374,492,-148,33,-2528
-2672,2062,12462,457,-691,-145,-2544
2598,-7618,8082,-593,1083,-399,-2544
-1164,5320,-1280,-503,-151,-22,-2496
6070,2082,3588,1458,-903,-108,-2560
2114,-1340,10480,-413,964,-360,-2560
-2062,-378,6880,-308,-211,91,-2544
3510,3412,2420,-75,131,-56,-2576
-188,-1034,13264,549,-196,-186,-2528
-106,-1028,7610,-699,673,-234,-2560
982,452,6168,72,-161,-46,-2544
1924,-296,7692,-195,435,-204,-2576
-3258,1028,12006,632,-665,-52,-2544
2048,-4184,8552,-880,767,-372,-2560
-618,1026,7898,235,-24,-145,-2544
-936,-4254,13756,779,-400,-52,-2576
-1264,1288,7366,-616,187,-41,-2544
5750,-1324,-2552,-1625,941,-423,-2528
-3306,-6656,19058,2515,-1011,-18,-2560
-1914,-864,13954,-261,-560,-73,-2528
5568,2472,952,-1230,1388,-415,-2544
-3476,-1966,13476,477,-200,-36,-2576
452,-1438,11942,716,-650,103,-2560
-206,-526,10120,14,128,-160,-2560
1586,692,3154,-1025,892,-278,-2528
-116,-60,6070,341,-272,-50,-2560
2018,-890,8294,-38,254,-210,-2512
-2836,76,11010,431,-333,-30,-2576
3116,-1570,4246,-1093,705,-355,-2544
16,2944,3924,797,-163,-189,-2560
-1038,-2868,11116,45,-82,-101,-2592
382,1596,3942,-501,250,-11,-2528
6676,1626,-3180,-1141,486,-359,-2576
-1764,-10522,20538,2756,-915,-70,-2576
-2056,1760,6458,-1490,3,-72,-2592
7608,3988,-4280,-884,1070,-363,-2560
-2790,-3200,16632,823,-201,-121,-2544
-888,-1852,12262,418,-626,130,-2544
1088,1146,4468,-1139,680,-189,-2544
2738,1324,1612,-69,354,-262,-2528
-1790,-2140,12782,493,-239,-47,-2528
1790,-296,8322,-68,71,-147,-2576
-1414,-710,9426,-267,454,-142,-2576
-742,2978,7880,-259,-174,-154,-2544
798,-5052,13034,843,150,-282,-2560
-52,364,6364,-1251,517,-167,-2560
146,-1842,11360,934,-418,22,-2576
-1884,3156,13050,306,-647,-178,-2576
1158,-9714,12732,-852,1177,-434,-2560
-1156,4872,-608,-705,-73,-30,-2560
7192,2978,-1036,825,-192,-195,-2576
220,-2262,13262,163,470,-273,-2512
-2012,-988,9120,-51,-438,150,-2560
2842,3248,1974,-838,542,-127,-2560
590,-1422,12902,628,-68,-220,-2544
-1142,-1520,10132,-140,230,-144,-2544
1544,700,6856,-34,-50,-112,-2544
252,-1132,7592,-279,559,-182,-2560
