AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-466,4538,12452,315,-584,-71,-4000
2622,2528,6600,1052,1230,473,-4000
-3880,-14202,12260,-1098,-1240,-488,-4016
4506,6422,5428,2135,907,227,-4016
756,-8410,2890,-392,514,-306,-4016
-3890,5306,17092,-1488,-385,-515,-3984
278,1356,2622,1769,416,-47,-4048
-2160,-3828,18994,-2363,-1349,-353,-4016
1086,7920,7860,1971,1353,332,-4016
-20,-4240,-2542,274,-277,-244,-4016
-1024,7198,16832,-1456,-412,-46,-4000
1216,-2556,3504,1203,862,42,-4000
-2038,-3014,9128,-2110,-948,-581,-4000
3966,-870,1448,2839,83,-84,-3968
-1036,9784,13730,-1903,-153,-226,-4000
-2268,-1184,130,1588,206,-360,-4032
3560,2410,3324,-1918,-303,66,-4000
-1316,6412,10460,-657,1180,200,-4000
3698,-174,-5136,1807,-300,-298,-4016
2820,9746,18028,-2475,270,65,-4016
-1664,-2038,5448,3029,882,-260,-4016
-1382,-5796,11332,-3043,-1161,-519,-3984
-314,1840,3720,1439,439,-65,-4000
3906,-8364,1336,268,186,-29,-4016
-2884,3526,18248,-1672,-102,-64,-4000
650,5830,2690,2353,636,-89,-4000
1198,1484,10504,-2709,-337,-114,-4000
-2628,1332,13212,418,55,-136,-4000
284,-11476,8058,-1086,-884,-499,-4032
1676,10014,4886,2692,936,107,-4000
-1012,1036,10296,-1994,-455,-454,-4000
-2964,2826,10710,1152,-472,-141,-4000
4604,-2572,3016,-119,735,371,-4000
-5368,-11056,18470,-2958,-214,-301,-4016
4188,7824,9170,2734,1065,135,-4000
1986,704,4206,-2644,371,-264,-4000
-2340,10692,9152,115,295,-407,-4000
1570,-6244,-912,468,-78,-176,-4000
-1526,-5446,17302,-2079,-1225,-336,-4000
4700,-562,-3064,3093,1552,401,-4032
-2748,-6796,8336,-1000,-808,-280,-4032
-600,6690,18164,-543,-237,-82,-4000
444,-1244,5024,1081,823,30,-4000
-4024,-394,16310,-1938,-908,-518,-4000
2356,-9808,8126,2348,-323,-204,-4016
-1014,8500,14756,-996,202,-163,-4016
-2404,572,1576,1202,93,-400,-3984
774,4398,11776,-1771,-615,-21,-4016
1108,7006,8410,659,1396,348,-4016
-898,-10970,3272,938,-1060,-439,-4016
3302,9372,14836,17,590,236,-4032
222,-9484,2762,2595,858,-250,-4016
-3688,614,17854,-3283,-1117,-582,-4016
-1268,4448,7836,2346,696,39,-4000
-576,-7280,13866,-1777,-924,-234,-4000
-926,9466,13960,-237,613,176,-4000
1730,-368,-4994,1874,481,-182,-4000
1746,-1234,5634,-3009,-587,-125,-4032
-128,-590,6648,1042,544,-67,-4032
-1248,-6648,7310,-2055,-983,-605,-4032
3956,6288,80,3289,887,78,-4000
-1682,-2112,6898,-2634,-565,-454,-4000
-2752,1170,4782,1494,-219,-224,-4000
4842,-508,296,-464,616,326,-4016
