AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-2370,-2316,1134,-780,-268,-406,-4032
1548,4576,8636,-343,-587,-76,-4032
4120,-624,4562,917,1192,450,-4032
-5368,-14556,17562,-625,-1195,-506,-4032
3128,8630,16040,1994,865,223,-4016
-386,-8716,4818,-380,538,-303,-4016
-3056,9750,12186,-1518,-357,-475,-4048
1466,-3390,-808,1776,406,-62,-4080
-282,-7416,12300,-2327,-1338,-357,-4016
3484,2950,520,2386,1464,391,-4064
-1952,-7060,4026,321,-292,-224,-3984
-22,5600,17380,-1485,-422,-99,-4000
-416,-202,7510,1333,870,66,-4032
-3538,-1136,14354,-2205,-1005,-578,-4032
3182,-6226,5838,2866,168,-67,-4032
-1004,6264,13234,-1737,-129,-250,-4000
-2698,738,4872,1297,3,-351,-4032
4378,720,1752,-1187,359,249,-4016
-3058,-554,12542,-2513,208,-203,-4032
5072,4370,-2278,2234,567,-91,-4032
2964,7394,11182,-3501,258,-145,-4032
-1876,4832,5374,2110,786,-328,-4000
204,-7572,5298,-1786,-843,-342,-4032
-2392,-328,20016,-662,-432,-167,-4000
5510,-6036,-4288,2138,1004,150,-4048
-3484,-2560,16358,-2445,-926,-200,-4016
-692,7700,11982,1696,538,-21,-4016
1944,-4552,470,-848,263,2,-4016
-3868,1154,17038,-721,-628,-331,-4080
900,-12184,9348,854,-689,-366,-4016
4,9522,9884,1186,603,-21,-4048
-1560,-1144,6478,-894,-271,-463,-4032
-1708,3746,12168,183,-507,-53,-4048
3620,-110,5762,720,977,408,-4032
-5180,-14856,17076,-1607,-1054,-450,-4000
2950,9430,17556,1592,831,243,-4048
-868,-7448,4542,935,527,-267,-4032
-3600,8554,14626,-1971,-561,-536,-4048
1082,-1926,-166,2095,522,-41,-4048
1098,-8078,8938,-2252,-1170,-316,-4016
-1750,7658,16332,1302,1088,274,-4048
-1008,-5996,1032,946,23,-201,-4048
546,3844,15374,-2356,-599,-162,-4016
-1190,688,9708,1160,735,37,-4048
-2818,-1894,11736,-2210,-905,-567,-4032
3364,-3514,3720,3044,536,27,-4016
-964,4812,12906,-2469,-294,-317,-4032
-2688,2038,6148,1745,72,-300,-4032
2734,3608,6338,-1925,-99,119,-4064
-4532,-5310,16828,-2882,105,-238,-4000
2702,-2832,-4798,2552,792,-73,-4000
2558,4620,7554,-3937,192,-188,-4032
-2006,9110,7122,2196,883,-350,-4032
1202,-7944,1258,-2121,-903,-378,-4016
-2138,4620,14628,-537,-409,-224,-4048
5756,-4016,-5298,2434,1079,176,-4016
-3624,-5384,13382,-2569,-957,-234,-4016
-802,7538,16224,1759,448,-18,-4016
1422,-3312,2416,698,741,10,-4016
-4222,560,17336,-1409,-850,-434,-4032
1616,-12216,9410,1922,-495,-260,-4000
-966,9504,13714,-267,314,-86,-4064
-2320,-900,606,668,41,-404,-4032
-512,4524,12924,-1127,-586,-44,-4032
-1012,6902,9338,-1814,815,26,-4048
3558,-392,-5410,2005,104,-265,-4016
2696,9668,18530,-2712,260,75,-4032
-1504,-2936,5346,2980,957,-286,-4048
-1728,-5658,12226,-2793,-1121,-492,-4016
-2186,3460,16538,845,211,-62,-4032
456,7936,9232,2152,1342,334,-4064
812,5710,2276,1715,538,-17,-4016
2422,-4736,-234,-941,270,-17,-4080
-4166,86,16882,-640,-561,-336,-4016
42,-11508,8370,413,-788,-405,-4032
1474,9862,5226,1252,667,-20,-4016
-2194,-3324,2464,-435,-250,-461,-4048
222,4914,12278,176,-607,-77,-4032
4782,-2614,2730,1131,1105,488,-4032
