AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
3704,2352,6864,373,529,-375,-3072
-3870,-2372,9610,-1248,-491,-105,-3056
-148,-4550,8562,616,-186,-120,-3088
2310,294,4568,-893,299,-428,-3088
-6138,2888,6002,698,-375,288,-3056
7594,-7416,10806,757,-5,-129,-3024
-1954,11024,1924,-1707,-384,-250,-3056
-1900,-2998,9288,1176,-354,149,-3056
4450,-8588,10296,-878,189,-626,-3056
-2200,3782,6066,26,68,-213,-3072
2784,-10306,13230,1245,509,-132,-3056
-344,5052,6788,-858,-163,-191,-3088
-1658,6522,5172,-61,-191,33,-3056
2690,-5164,9328,261,581,-314,-3072
-1148,80,8458,-628,-114,-164,-3072
684,-2314,8436,399,107,-226,-3040
708,6708,6106,-872,432,-366,-3040
434,-3382,7732,687,-205,-39,-3056
5076,3390,3160,-932,339,-463,-3072
-4292,-3372,10444,1066,89,169,-3072
4552,-7926,12100,245,-581,0,-3072
-3526,8992,3006,-1515,-87,-335,-3072
-3866,-11680,14766,1495,-299,185,-3072
4832,1486,4898,-1413,-209,-523,-3072
-4040,8274,4318,409,408,-313,-3072
3706,-9452,12522,817,163,-61,-3072
1378,9804,3734,-861,-1,-271,-3072
-2276,2156,9576,381,31,45,-3088
3240,-5900,9976,-438,147,-177,-3056
-1028,2990,6882,-400,66,-238,-3088
-594,-3454,8544,222,-44,-142,-3088
-542,6832,5366,-505,686,-434,-3088
-1688,-5592,10362,85,-275,21,-3056
4322,2326,3440,-673,467,-542,-3072
-5462,-128,8450,1079,394,81,-3056
80,-308,8668,22,-800,79,-3072
1000,11986,1982,-1171,285,-424,-3072
-3094,-8170,12042,1327,-353,225,-3040
4752,-3248,7368,-1491,-267,-425,-3040
-32,-1776,8160,757,645,-362,-3072
1046,-8814,12964,372,-142,-19,-3072
524,8906,4560,-782,29,-273,-3072
-2184,3610,7990,531,107,21,-3072
1998,284,8380,-596,89,-198,-3040
-658,2622,5472,-310,146,-231,-3040
36,-3398,8708,192,-71,-151,-3072
1770,5420,7554,28,807,-474,-3072
-4562,-264,8724,-642,-560,4,-3040
2558,-88,6136,292,95,-268,-3104
-128,-4520,8578,-500,345,-405,-3056
-4578,5606,4706,-22,-1082,419,-3056
7154,-8240,11400,1310,1007,-421,-3056
-5216,2450,8154,-1504,-667,-78,-3088
702,8210,4740,351,-469,53,-3056
3096,-10970,12592,287,801,-677,-3056
-4990,10590,3170,-1101,-845,65,-3088
3848,-3830,8948,1356,693,-263,-3024
-662,-2982,11352,-406,-27,-177,-3056
-1946,5532,6248,-683,-385,92,-3072
3180,-6342,9928,376,688,-304,-3088
-1170,1122,8144,-586,-139,-156,-3056
2738,-376,6470,449,160,-229,-3088
1100,6080,6808,-871,337,-357,-3072
-112,-5864,10130,408,-213,16,-3056
5530,3686,3842,-539,535,-517,-3056
-3514,-5866,11874,1168,516,27,-3072
3256,-5336,11118,-655,-1386,232,-3056
4278,8654,4590,-367,788,-501,-3056
-4436,-11396,15424,926,-358,223,-3056
4310,-9668,10948,245,844,-695,-3056
-1920,-2256,10264,-1288,-1154,144,-3056
3538,-138,6726,564,488,-277,-3072
-786,-3402,11514,156,252,-140,-3072
766,5102,5986,-1198,-575,44,-3072
-32,948,6048,296,533,-310,-3072
-1264,-652,8822,-221,-107,-91,-3072
3686,158,6436,379,453,-346,-3072
-3666,2800,7300,-1215,-337,-185,-3072
644,-2926,7602,583,-281,-93,-3072
4848,3028,3504,-858,358,-490,-3072
-4728,-2562,9884,854,-99,188,-3040
5162,-7438,11710,499,-300,-43,-3040
-3756,7050,4522,-1344,54,-336,-3056
-3572,-9974,13454,1381,-316,233,-3056
4926,-366,5952,-1345,-191,-487,-3056
-4348,8962,4100,-598,-359,-98,-3056
3912,-8498,11486,1308,565,-176,-3024
-1112,1218,9054,-807,-113,-179,-3088
-2370,2290,9306,-59,-202,65,-3072
3390,-6074,9990,96,593,-303,-3056
-1152,2972,7390,-540,-60,-166,-3056
2022,-2088,8032,432,70,-214,-3056
2042,5578,7432,-586,639,-420,-3072
-988,-6166,10654,214,-212,30,-3056
5596,3178,5154,-255,519,-457,-3056
-2576,-7170,11932,584,519,-156,-3056
816,-806,8690,-636,-1460,362,-3056
6414,3592,6948,300,1124,-533,-3056
-5252,-8786,15536,194,-473,137,-3088
4600,7652,2660,-1113,-431,-233,-3056
3546,-10974,12744,1456,1365,-631,-3040
-3230,2666,7544,-868,-879,111,-3056
2156,7324,4064,114,389,-276,-3024
-1130,-1724,11040,345,264,-75,-3088
262,6970,4528,-1163,-490,25,-3040
450,-992,7344,221,393,-311,-3040
220,-2836,8636,443,89,-169,-3072
1036,6596,6400,-955,281,-331,-3040
-130,-5434,9532,370,-239,-2,-3056
5290,3318,4054,-482,541,-482,-3056
-3546,-5764,11848,1002,555,-50,-3056
2990,-4084,10364,-537,-1281,261,-3088
4608,7446,5530,-234,871,-512,-3056
-4280,-10856,15426,815,-398,175,-3056
4880,4850,3590,-1484,-429,-337,-3088
2486,-8920,11466,1415,1215,-501,-3040
-1868,-1518,9882,-430,-603,49,-3056
1802,9132,3770,-306,270,-285,-3024
-2026,464,10586,448,257,-12,-3056
848,4668,6226,-936,-342,-47,-3040
28,910,6278,9,278,-292,-3072
-916,-3426,8550,174,-112,-118,-3072
2860,4158,7334,-121,736,-457,-3072
-2294,-4846,10388,-491,-362,-44,-3072
4646,3096,5450,222,145,-264,-3072
1166,-2568,6796,-98,445,-323,-3040
-6170,6116,4372,-419,-1357,479,-3104
7758,-992,8650,1355,1315,-447,-3072
-5246,-7540,15320,-1148,-628,-5,-3072
-640,5046,6394,-223,-517,-23,-3104
3996,-12468,13080,912,1184,-712,-3072
-4336,6962,5012,-1380,-1121,149,-3072
3004,4558,4480,1133,685,-291,-3072
-982,472,9454,-180,93,-130,-3040
-412,6976,4188,-990,-580,104,-3072
1414,-2466,8316,316,625,-353,-3072
-1200,-1896,8502,-427,-164,-89,-3040
2184,-1480,7700,450,277,-291,-3072
-1306,6800,5028,-1282,-93,-296,-3072
-410,-5494,9090,680,-241,-9,-3072
3332,1144,3760,-789,457,-508,-3040
-2812,-6892,12244,1103,327,82,-3072
1474,-1696,9466,-100,-896,153,-3040
-5172,2110,8582,-1126,-679,17,-3088
934,8382,4726,-788,-505,-142,-3072
3206,-10722,12462,1330,1351,-624,-3072
-2954,1812,7888,-1234,-1081,130,-3040
2034,8048,3832,633,612,-289,-3104
-880,-2394,11114,210,206,-84,-3072
570,6652,4900,-1162,-511,57,-3072
328,-760,7240,291,463,-340,-3040
-796,-3152,8424,-316,-202,-92,-3040
3056,-640,6676,360,409,-385,-3072
-2870,4486,6108,-1259,-326,-206,-3104
124,-4088,8124,674,-254,-50,-3072
1826,-72,5046,-906,351,-469,-3072
-3856,-5394,11608,1020,-29,201,-3040
7962,-6418,10658,1145,469,-244,-3040
-2752,10142,2116,-1730,-507,-169,-3056
-1560,-806,8200,1030,-378,132,-3088
4244,-9912,11208,-682,307,-672,-3088
-5082,9874,3448,-501,-316,-120,-3056
3264,-10008,12866,1292,565,-154,-3024
-306,3744,7606,-712,-71,-206,-3056
-1318,6448,4936,-223,-329,100,-3056
2702,-4012,8834,142,557,-273,-3056
-796,3142,6538,-604,-56,-161,-3040
866,-1802,8210,407,38,-176,-3072
408,6590,5732,-732,562,-366,-3072
-148,-6544,9988,245,-239,11,-3040
4646,3174,5228,-372,450,-460,-3072
-1358,-7942,11722,886,605,-140,-3072
-1360,2400,6908,-823,-1569,367,-3040
