AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
1260,-2566,224,1145,165,-141,-4032
360,-8172,10382,-2369,-1335,-360,-4064
3044,4114,2100,2127,1350,353,-4064
-1584,-7024,2324,302,-316,-285,-4032
154,5336,16636,-1920,-524,-140,-4064
-596,314,8006,1428,901,61,-4064
-3264,-1344,13428,-2284,-992,-548,-4080
3374,-5490,4772,2908,126,-62,-4048
-1164,5074,13576,-1728,-159,-265,-4048
-2808,954,6376,1307,7,-355,-4080
2378,4200,5996,-1596,-167,71,-4048
282,7338,8236,-809,1107,194,-4048
956,-5328,-696,1618,-493,-347,-4048
2882,9120,17794,-1382,404,124,-4064
-954,-6976,5338,2585,787,-279,-4064
-2866,-2232,15722,-2895,-1131,-509,-4064
-1642,4506,11734,1576,510,-35,-4064
1234,-8064,8314,-599,-324,-156,-4064
-1930,7294,16174,-1751,-91,-5,-4048
1596,2784,-2630,2414,696,-112,-4016
2166,-3808,2398,-2739,-400,-137,-4048
-4026,1148,17940,427,81,-135,-4048
-214,-9042,6516,-838,-827,-495,-4048
2748,7406,2578,2452,841,65,-4080
-1750,-1828,5452,-1809,-379,-448,-4080
-2794,1050,7034,1264,-392,-170,-4064
4336,-1510,3328,-117,673,353,-4048
-4360,-4858,16624,-2568,-213,-275,-4064
4950,5592,1914,2678,832,13,-4064
2708,5114,8192,-3479,221,-199,-4064
-2020,8304,6612,1458,702,-373,-4032
1264,-7858,1634,-935,-524,-276,-4032
-2704,-1898,19974,-1391,-818,-277,-4064
5322,-4710,-4436,3106,1376,244,-4032
-3182,-4636,13424,-1943,-995,-281,-4032
-1116,7374,15918,155,-28,-77,-4048
1630,-3358,1866,970,781,52,-4064
-2482,-2932,10342,-1813,-869,-516,-4096
1322,-12006,9742,2128,-433,-225,-4080
-740,9576,13052,-449,319,-88,-4048
-2488,-1548,918,767,11,-425,-4048
3320,2414,4300,-1254,-523,-31,-4048
2664,3130,6814,542,1305,395,-4016
-3500,-14498,10756,757,-1108,-433,-4016
2678,9706,18798,-95,543,201,-4080
942,-8828,2296,1615,715,-252,-4064
-3998,4782,17320,-2842,-937,-569,-4048
-268,1698,3814,2244,634,25,-4032
3380,-8822,1594,-1815,-1039,-303,-4064
742,8110,9104,243,756,247,-4064
476,-3944,-3106,1634,288,-195,-4096
1308,1810,11080,-2918,-585,-166,-4096
-2394,1326,12948,1151,669,-12,-4032
-1808,-3924,9004,-2171,-950,-611,-4064
3766,1754,1130,2936,726,43,-4064
-852,1800,8700,-2425,-371,-409,-4032
-2378,2466,9616,1345,-253,-303,-4064
3954,2340,2926,-1343,219,215,-4080
-1688,4254,9780,-2048,592,-77,-4048
3992,1048,-4694,1944,260,-182,-4080
2042,92,4816,-3362,299,-84,-4080
-1614,10,4600,2574,923,-315,-4048
-866,-6098,9394,-2446,-972,-376,-4080
-2474,2784,17888,-43,-169,-128,-4080
4404,-8250,-634,1425,576,30,-4032
-2964,1748,17930,-2363,-802,-152,-4048
138,6354,5998,1802,568,-60,-4080
2414,-5018,-522,-1097,229,-24,-4048
-3144,1672,14878,-401,-390,-233,-4064
284,-11914,8674,664,-735,-386,-4048
912,9932,6908,1336,675,-16,-4048
-2598,-590,3340,1601,-71,-284,-4064
4086,216,2962,-1436,185,224,-4064
-2710,2396,12570,-2401,315,-170,-4048
5002,2916,-5370,2365,704,-115,-4080
2902,9526,13884,-3885,203,-107,-4064
-1780,3484,4786,2311,904,-316,-4048
94,-7868,6212,-1931,-853,-368,-4016
-2948,1738,20122,-276,-297,-187,-4064
5214,-7728,-3386,2173,889,154,-4064
-3226,-122,17218,-2422,-846,-190,-4032
-344,6688,9492,1768,527,-21,-4032
2222,-4672,204,-908,281,-12,-4032
-3572,968,16138,-586,-541,-324,-4064
312,-12788,10202,663,-853,-410,-4064
282,10886,9586,1286,712,61,-4032
-2248,-2982,-20,-404,-270,-457,-4064
-2150,4642,13492,-257,-656,-70,-4064
4030,-844,4592,1263,1149,466,-4016
-5536,-15588,17564,-1706,-1239,-513,-4080
2732,9658,18614,2457,973,202,-4048
1484,-5714,1760,-905,495,-285,-4048
-3206,9108,14400,-1220,-233,-499,-4080
934,-2332,12,1666,368,-99,-4048
-3074,-142,20708,-2476,-1405,-403,-4064
3252,4298,2192,2531,1488,385,-4048
-1560,-6662,2010,-117,-487,-239,-4048
338,5158,16432,-2636,-552,-163,-4064
-922,54,8554,1425,782,74,-4064
-762,-8736,7298,-2411,-1023,-594,-4064
3374,-4238,3868,3237,599,35,-4064
-772,4280,12290,-2350,-413,-374,-4032
-2746,846,7120,1514,-138,-284,-4064
4284,-1628,3158,-1525,38,143,-4080
158,7580,7438,-1608,907,77,-4048
1318,-4430,-2344,1860,44,-276,-4080
2720,6214,8736,-3059,243,16,-4016
-1830,7080,6288,2848,907,-331,-4048
638,-1468,918,1714,358,-56,-4080
1622,-8278,7534,-2204,-1176,-362,-4080
-1762,7320,16492,1085,1104,306,-4080
-812,-5834,-10,1092,48,-218,-4080
452,3904,15218,-2590,-596,-161,-4048
-1380,860,10296,1358,781,27,-4080
-366,-8920,6982,-2173,-981,-613,-4080
3370,-3734,4206,3154,460,41,-4048
-798,4310,12940,-2450,-381,-350,-4080
-2802,1806,6830,1746,-8,-257,-4080
2694,3092,5976,-1774,-42,108,-4064
-388,8470,8946,-1420,969,105,-4064
2070,-4030,-4246,2077,-66,-249,-4064
2602,5154,8238,-3227,155,5,-4064
-1882,8692,6970,2281,879,-338,-4064
1172,-8172,1352,-1815,-854,-375,-4064
-2214,5298,14124,-836,-508,-182,-4064
5822,-4870,-5582,2714,1199,203,-4032
-3580,-4582,14222,-2607,-959,-245,-4064
-1064,7946,15492,1883,513,-37,-4080
2486,-3966,1406,-1034,219,-19,-4048
-4302,692,17666,-565,-565,-320,-4048
1380,-12752,10080,510,-820,-383,-4080
-658,10662,12760,1418,837,45,-4080
-1998,-3728,3762,-538,-283,-476,-4048
-1220,4922,14390,-258,-716,-89,-4048
2922,2504,6466,1367,1258,459,-4048
-4760,-6666,17606,-2008,-1159,-481,-4064
4378,7116,4734,2513,911,165,-4064
1270,-8632,1894,-1223,472,-248,-4064
-3772,6198,16800,-994,-122,-479,-4064
1200,-7596,928,1487,248,-78,-4032
-2312,-3276,19396,-2533,-1394,-374,-4064
1254,7786,7122,2632,1534,354,-4064
10,-5040,-2850,-215,-566,-282,-4064
-1044,8214,17102,-1559,-446,-97,-4064
1530,-3390,2178,1476,947,79,-4048
-62,-10678,7068,-368,-870,-476,-4048
2230,9578,3686,1520,735,65,-4080
-2078,-2990,2920,-415,-197,-447,-4032
-288,4738,12256,-99,-638,-115,-4032
