AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2238,-5206,10390,-39,-267,130,-2672
2978,170,5736,56,810,-309,-2672
-2750,1504,8744,258,203,10,-2704
2956,-4510,12136,773,593,-471,-2672
-3648,4754,7634,-2247,-340,17,-2672
1076,15112,-274,499,31,-394,-2672
448,-27148,14768,1066,714,-205,-2640
-5668,24794,-878,-1187,-1133,347,-2672
2908,-6880,10148,377,244,-248,-2672
-1772,-402,7612,-411,-525,21,-2672
3238,288,7868,164,78,-362,-2672
1988,-5480,9954,122,590,-471,-2672
-2550,5452,8078,-54,84,119,-2688
1998,-5526,10572,-45,-346,143,-2688
3404,470,5758,68,788,-339,-2688
-1630,-162,8362,319,344,-32,-2656
2760,-3586,11782,826,518,-394,-2704
-3700,4268,7626,-2324,-328,-18,-2688
1312,12876,1032,898,113,-356,-2688
2742,-11484,11674,-75,718,-248,-2672
-5730,23660,-128,-508,-1050,280,-2704
3134,-4982,8930,334,248,-232,-2672
-1812,-2238,9156,-349,-384,-9,-2672
1358,1464,7452,-32,-86,-253,-2672
1890,-3414,9394,350,551,-469,-2672
-4124,3854,9738,-332,-236,227,-2672
2926,-2938,6890,-142,-204,12,-2704
4022,876,5530,40,750,-315,-2704
-3002,-176,8824,278,96,-45,-2688
1474,9108,7494,254,518,-484,-2688
-190,-18408,13528,-1228,-200,46,-2688
1204,10152,2738,-574,77,-363,-2656
820,-24442,14344,2250,612,-213,-2672
-1058,12324,4590,-1464,-947,349,-2656
-414,6124,4928,-53,92,-258,-2688
-1092,-4696,9288,98,-497,15,-2688
2764,-60,6534,-151,203,-430,-2656
2260,-2994,9718,279,620,-403,-2688
-4300,3030,9628,-233,-185,205,-2656
1570,-4024,10330,-161,-280,81,-2672
3838,-602,6066,54,750,-317,-2656
-2782,672,8338,254,180,-19,-2688
2284,6208,9250,549,603,-500,-2688
-1300,-16470,12822,-1823,-274,116,-2688
486,7718,3538,-103,64,-385,-2688
1218,-26026,15040,1517,678,-231,-2656
-1692,17380,2574,-1401,-1122,346,-2688
218,5008,4658,311,229,-248,-2688
-1822,848,7840,-285,-499,16,-2688
2776,358,6880,37,75,-350,-2688
2160,-4724,10190,281,606,-471,-2672
-4148,3506,9316,-266,-173,164,-2672
1512,-4348,10108,-77,-237,77,-2704
3726,-1594,7124,98,775,-294,-2704
-2492,1552,7742,223,239,-33,-2672
2572,5008,9584,886,629,-473,-2672
-2702,12294,4716,-2336,-321,26,-2704
152,5052,5008,695,97,-398,-2672
1354,-26836,15538,841,706,-230,-2672
-2144,19098,1598,-1125,-1155,337,-2704
3500,-11184,11704,351,286,-273,-2704
-1824,722,8356,-400,-510,5,-2704
2780,814,6652,91,16,-331,-2672
2028,-4754,10150,218,541,-482,-2704
-1608,4332,8494,-152,61,143,-2704
996,-4106,9844,-57,-310,158,-2672
4074,-1140,7398,47,788,-355,-2704
-2558,1076,7958,318,325,-22,-2704
1842,-3386,10744,864,501,-378,-2672
-2780,11674,4768,-2617,-270,-33,-2672
236,3706,5360,1827,172,-302,-2688
1452,-24892,15152,-705,655,-294,-2688
-6484,16814,2736,71,-914,263,-2688
3658,-9490,11142,259,235,-236,-2688
-1824,-556,9590,-331,-351,-60,-2688
2388,1022,5800,-99,-240,-229,-2688
1890,-1374,7090,99,437,-531,-2656
-1542,2228,9018,55,360,34,-2688
860,-3494,10400,-313,-450,200,-2656
4160,-1086,6994,305,699,-352,-2688
-1292,-2386,9722,252,478,-52,-2688
1526,-2316,9998,703,224,-241,-2688
-2638,12474,4918,-2657,-32,-188,-2656
984,-21216,13342,2182,138,-184,-2672
3778,-4,5680,-1609,455,-334,-2720
-6310,16806,2528,899,-610,168,-2720
3522,-10412,11696,118,24,-134,-2688
-2196,1152,7600,-266,-181,-90,-2672
700,-756,8986,-50,-347,-137,-2704
2110,-1334,7098,-171,389,-524,-2672
-1652,2804,8914,221,426,-104,-2672
704,-3484,10112,-462,-567,264,-2688
4690,-3420,7232,323,635,-306,-2656
-1352,-1880,9300,235,554,-96,-2656
1406,-2908,10184,513,21,-215,-2688
268,18658,1784,-2210,189,-299,-2672
1152,-23366,13826,2349,187,-144,-2688
4158,810,5198,-2315,306,-313,-2688
-6304,16868,2674,1821,-287,39,-2688
2440,-1870,11360,-407,-268,18,-2672
-2404,1768,7744,-185,-187,-175,-2672
786,-1174,8740,29,-354,-88,-2704
2020,-1810,7420,-394,285,-484,-2704
566,-998,7496,424,512,-173,-2672
-3664,2984,9478,-687,-633,295,-2672
4392,-2692,6414,216,339,-244,-2704
-1292,-1878,9420,291,672,-172,-2672
-2364,2114,8972,158,-139,-140,-2672
0,18576,2018,-1646,371,-389,-2672
1192,-22978,13816,1686,83,36,-2672
4120,1914,4618,-2689,148,-332,-2704
-3114,-18186,13286,2822,185,-106,-2704
2424,-2582,11320,-876,-467,116,-2672
-2232,2408,7110,-123,-173,-227,-2672
660,-1366,8590,138,-354,-80,-2672
2932,1944,7284,-428,251,-452,-2704
1038,-872,7924,476,492,-278,-2672
-4152,4210,8680,-725,-611,289,-2704
4310,-4152,6932,103,23,-127,-2688
1510,850,5028,136,757,-223,-2688
-2656,1348,9106,132,-52,-74,-2688
554,16514,3262,-773,498,-462,-2656
1048,-20556,12904,521,-27,83,-2688
4230,22260,-5064,-2311,3,-301,-2688
-3222,-18274,12820,3074,444,-211,-2720
2558,-2120,11254,-696,-386,82,-2656
-2194,2380,6588,-203,-173,-209,-2688
456,-936,9180,169,-318,-88,-2688
1880,-602,6946,-342,271,-463,-2688
1106,772,7316,296,465,-235,-2720
-4452,4508,8436,-685,-611,316,-2688
4312,-3836,6970,182,145,-183,-2656
-752,-2188,9352,120,761,-244,-2688
-2940,1306,9516,164,-72,-88,-2688
706,16034,3410,-1830,302,-323,-2704
1006,-22496,13610,2009,101,-44,-2688
4440,6356,1612,-2447,203,-378,-2688
-6112,10568,5184,2201,-102,-23,-2688
1992,1466,9844,-749,-359,90,-2672
-2142,3558,6076,-126,-127,-195,-2672
284,-3164,10066,156,-313,-109,-2640
2144,358,6522,-416,225,-450,-2704
1136,-486,7856,392,477,-214,-2640
-4264,2622,9238,-621,-630,329,-2672
4464,-1466,6102,34,248,-237,-2672
-942,-2392,9332,336,792,-220,-2672
-2748,1984,9296,-17,-139,-67,-2704
546,16162,3530,-1066,422,-443,-2672
1044,-23548,13676,991,-5,90,-2672
5094,11584,-884,-2661,-9,-279,-2672
-1192,-24410,14064,3302,476,-233,-2672
1358,4308,9134,-1452,-655,226,-2704
-1868,4030,5748,95,-68,-268,-2672
-24,-3982,10156,206,-337,-38,-2672
3206,1776,7826,-541,170,-431,-2704
1080,-2134,7936,610,526,-352,-2688
-4042,2374,10282,-610,-452,279,-2656
4048,-828,5526,-125,1,-97,-2688
2192,-386,5420,296,781,-271,-2688
-2874,1676,9230,-19,-8,-12,-2688
682,14944,4288,-94,530,-524,-2688
926,-23676,13984,-409,-213,100,-2688
2598,20388,-3368,-1702,7,-325,-2688
-1136,-23426,14008,2767,622,-204,-2688
888,5398,8168,-1544,-930,328,-2688
-2018,4858,5324,4,45,-295,-2688
-2026,-2672,8546,113,-486,1,-2688
3162,-122,7878,-224,179,-445,-2656
1722,-1160,8560,329,625,-377,-2688
-4712,3512,9276,-381,-289,204,-2688
2484,-4650,9882,-113,-192,1,-2656
2436,978,4730,57,783,-275,-2656
-2866,1382,9360,208,110,-31,-2688
934,13136,5410,311,577,-509,-2656
-3318,-1688,10012,-1267,-252,72,-2688
2434,17238,-1774,-599,101,-347,-2688
-1058,-24174,14108,1918,615,-211,-2656
784,6940,7430,-1459,-1089,356,-2688
2488,-1522,8104,157,185,-286,-2688
-2048,-1578,8152,-77,-499,56,-2688
3256,-1106,8242,-179,220,-432,-2704
1780,-1656,8658,299,611,-372,-2672
-4798,4094,8952,-346,-346,258,-2672
2328,-4904,9982,-92,-138,-20,-2672
2702,944,4944,119,817,-298,-2704
-2870,1634,9272,135,49,-22,-2672
1326,12134,5942,250,581,-484,-2672
-3472,850,8880,-1183,-260,88,-2672
1724,18210,-2018,-996,14,-341,-2672
-450,-25698,14224,2390,636,-226,-2672
538,9404,6668,-1786,-1096,376,-2704
2690,-3758,8794,215,140,-270,-2640
-1840,-1124,7868,-111,-442,4,-2704
3344,-32,8240,-102,168,-425,-2640
1520,-2554,8252,270,580,-427,-2672
-3094,5044,8144,-231,-214,190,-2704
2390,-5230,10266,-83,-178,43,-2672
2838,476,5384,54,805,-293,-2688
-2786,1854,8680,265,199,-35,-2656
3246,-3492,12250,728,599,-476,-2624
-3890,680,8944,-2195,-329,30,-2688
1632,18056,-1996,473,51,-353,-2688
-94,-26124,14446,1111,712,-226,-2688
-5164,25306,-1040,-1186,-1132,341,-2656
2750,-3200,8634,272,214,-252,-2672
-1924,-2058,8366,-291,-513,21,-2704
3204,1190,7572,28,138,-349,-2672
1960,-5862,10210,228,574,-451,-2704
-2834,5270,8214,-173,3,172,-2672
2320,-4618,10092,-38,-305,101,-2640
2994,-80,5572,81,817,-319,-2704
-1686,104,8076,265,248,-28,-2704
2728,-2594,11938,749,566,-436,-2672
-3808,418,8890,-2301,-340,-12,-2640
2022,15716,-546,1000,142,-362,-2672
2456,-15186,13460,-116,697,-224,-2656
-5340,24522,-702,-488,-1040,310,-2656
2876,-3354,8548,346,278,-263,-2656
-1898,-2606,8806,-391,-391,2,-2688
1472,2204,6812,-43,-139,-302,-2688
1658,-5354,9352,206,497,-495,-2688
-2272,3580,9140,-8,290,60,-2688
1988,-4614,10392,-265,-472,220,-2656
5220,-4938,9032,234,760,-325,-2688
-1586,-708,8310,242,428,-45,-2656
2206,-2134,11394,804,313,-312,-2720
-3352,3528,7908,-2186,-255,-49,-2688
1602,12972,1054,852,141,-359,-2688
2906,-11924,11844,-48,710,-272,-2704
-5486,22490,216,-459,-1073,310,-2672
3058,-5040,9236,302,241,-242,-2640
-1888,-1674,8672,-338,-373,8,-2672
1352,1864,7348,-88,-134,-292,-2672
1754,-4066,8522,229,536,-512,-2640
-2284,3120,9462,-52,246,91,-2672
1994,-4206,10430,-125,-326,49,-2672
3294,-230,5330,18,749,-301,-2672
-2670,1146,8626,301,260,-7,-2704
2342,-4484,11652,879,563,-400,-2672
-3112,8394,6606,-2456,-295,18,-2672
686,9420,2642,1053,142,-401,-2704
908,-26256,14564,297,647,-204,-2640
-5994,22938,-326,-813,-1090,323,-2672
3270,-9458,11088,372,284,-241,-2672
-1924,1148,7650,-109,-479,19,-2672
2990,116,7322,-55,156,-407,-2672
1942,-4238,9624,309,562,-432,-2704
-4090,2544,9652,-233,-134,211,-2672
1680,-5128,10170,-69,-150,39,-2672
3772,-1448,7160,84,800,-311,-2704
-2698,1576,7962,231,170,-10,-2640
2242,6542,8734,765,596,-478,-2672
-3122,10486,5406,-2228,-352,71,-2672
358,8044,3334,857,96,-410,-2688
1506,-27164,15312,693,701,-228,-2688
-1656,17320,2474,-942,-1065,317,-2688
3574,-10700,11528,404,289,-278,-2688
-1918,-20,8638,-413,-485,32,-2688
2698,1016,6280,46,-81,-334,-2688
2266,-4666,10172,211,531,-499,-2688
-1698,4344,8526,-132,173,93,-2688
1266,-4626,10370,-85,-332,163,-2688
3926,-766,6902,102,784,-337,-2688
-2768,1064,7924,335,329,-16,-2688
1848,-3056,10778,829,419,-377,-2688
-2980,10014,5334,-2607,-235,-81,-2688
590,5388,4940,1571,164,-345,-2688
3350,-3478,7764,-921,632,-286,-2704
-6132,18762,2056,-131,-942,294,-2688
3406,-8256,10650,246,244,-237,-2688
-1860,-678,9168,-314,-355,-22,-2688
2648,246,6530,-91,-230,-251,-2688
1962,-2160,7530,135,500,-533,-2688
-1656,1944,9604,59,334,29,-2688
986,-3504,10210,-333,-471,231,-2688
4906,-4162,7964,286,692,-315,-2672
-1586,-1772,9052,298,453,-60,-2688
1776,-2588,10736,730,305,-276,-2656
-2826,11580,5088,-2715,-174,-106,-2672
164,3938,5350,2161,190,-260,-2688
3574,-3086,7266,-1435,516,-306,-2656
-6254,19150,1482,658,-689,216,-2688
3474,-10610,11654,189,87,-127,-2688
-1790,1056,8436,-399,-291,-81,-2656
878,-136,8626,16,-303,-181,-2688
2066,-2274,7558,-57,394,-514,-2688
-1886,3144,9002,117,382,-46,-2688
1046,-4180,10182,-391,-526,245,-2688
4784,-4068,7572,329,686,-308,-2656
-1452,-1748,9206,249,544,-102,-2688
1946,-3494,10726,884,422,-360,-2688
-2828,12388,4810,-2887,-165,-111,-2704
-26,5356,4728,2052,175,-319,-2672
3808,-3066,7282,-1049,564,-308,-2672
-6446,19942,1414,267,-800,218,-2704
3484,-10968,11864,275,151,-164,-2672
-1638,1450,7906,-532,-365,-31,-2704
1006,-460,7992,92,-185,-238,-2672
1910,-2756,8158,-42,450,-524,-2704
-1868,4062,8422,-76,85,116,-2704
1008,-4522,10180,-62,-291,115,-2672
4224,-1328,7358,76,781,-321,-2640
-2464,450,8408,315,381,-60,-2688
2128,-4332,11340,899,469,-359,-2688
-3046,11396,5038,-2733,-265,-86,-2688
78,4870,4718,1447,124,-363,-2672
1650,-25728,15582,-152,703,-249,-2672
-6094,19002,1750,-461,-1029,272,-2672
3536,-10194,11472,401,258,-241,-2672
-1704,164,8718,-469,-370,12,-2656
2512,1410,6248,3,-194,-262,-2720
1596,-2446,7700,116,444,-508,-2656
-1328,3382,8660,7,310,20,-2688
604,-3202,9890,-372,-472,229,-2688
4660,-1514,7410,375,703,-322,-2688
-1050,-1584,9280,163,536,-65,-2688
1574,-1758,10168,765,321,-305,-2672
-2774,10960,4760,-2632,-145,-173,-2672
70,3464,5648,1894,160,-265,-2672
3688,-1788,6300,-1070,591,-297,-2704
-6164,17192,2492,355,-786,221,-2672
3616,-8726,10816,79,71,-183,-2688
-1796,-2040,9838,-278,-244,-66,-2656
776,-102,8690,-106,-240,-183,-2656
1880,-1686,7378,-6,354,-508,-2688
-1276,2106,8702,105,346,-98,-2688
452,-2342,9918,-540,-620,312,-2688
4650,-4474,7542,385,612,-301,-2688
-1128,-1824,9330,156,601,-118,-2688
1150,-1524,9308,491,22,-171,-2656
-2352,14226,3820,-2296,194,-272,-2656
1074,-21760,13316,2124,163,-90,-2656
4042,2738,3914,-2297,233,-347,-2656
-6060,14588,3398,1931,-227,10,-2688
2498,-1312,10962,-548,-307,18,-2672
-2370,2070,6906,-186,-166,-141,-2688
