AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2818,6930,4604,-1272,484,-205,-2848
-1602,-2510,7706,201,-33,-6,-2864
1666,-7832,9340,354,62,-57,-2896
140,1954,7578,303,344,-135,-2880
-1126,5368,7150,-435,59,-142,-2880
-30,-5644,10592,261,-49,-215,-2848
3508,6782,4308,-705,329,-464,-2864
-302,-6134,10644,-8,342,-201,-2848
-1848,-1306,7790,-254,-679,269,-2848
4142,8878,2100,-279,424,-302,-2848
-5286,-11348,11410,143,-265,84,-2896
-580,5620,3232,14,-512,-77,-2896
2404,-7476,11498,1139,536,-472,-2848
-782,2004,9330,-424,-5,-120,-2880
368,5708,8820,24,30,-207,-2864
558,-6630,11064,-146,-85,-96,-2896
2668,5568,5700,-1179,428,-176,-2832
-254,-6924,10088,115,277,-89,-2848
934,-1994,6748,-11,-111,13,-2880
624,1392,6614,378,409,-174,-2880
-1758,5834,7328,-69,132,-146,-2864
-288,-1964,8864,-170,-111,-204,-2896
2280,4764,5770,-153,227,-426,-2880
-1078,-6034,10488,-388,495,-266,-2848
-3178,1324,6534,-364,-597,260,-2880
4748,-58,7630,415,282,-205,-2864
-4838,-4344,8720,-501,-22,7,-2896
-2604,-10,7214,574,-779,75,-2880
2526,-8324,9326,863,277,-509,-2880
-1284,8026,7464,-287,163,-184,-2864
-10,7656,7270,373,112,-157,-2864
-796,2722,8612,-795,-253,-139,-2880
2390,7392,4056,-734,308,-224,-2880
-908,-5342,9172,0,364,-129,-2848
-482,2894,5538,-405,-164,49,-2864
1774,-272,6450,624,405,-160,-2864
-928,3214,8350,187,153,-133,-2880
-736,3066,7582,-556,-114,-224,-2880
2824,6362,4642,-738,359,-486,-2896
-1716,-6340,10854,9,292,-125,-2864
-298,-4716,8742,-161,-664,250,-2864
4542,4014,5426,-265,437,-317,-2880
-5652,-7090,9386,444,-366,120,-2880
1762,4568,5308,39,-458,-72,-2864
1502,-296,8794,1113,536,-493,-2864
-1360,7524,7914,-326,-66,-115,-2864
42,7946,6912,-122,18,-202,-2848
1898,-6910,11340,-42,16,-118,-2880
2446,6904,4188,-1172,436,-191,-2832
-1070,-2848,7948,143,179,-55,-2864
1262,-7180,9002,84,-68,8,-2880
1034,384,6764,355,298,-137,-2880
-886,5276,7092,-153,175,-129,-2864
-228,-5280,10788,-118,-97,-222,-2864
1592,2348,7412,-268,256,-405,-2880
-2808,-4322,10034,-36,305,-141,-2848
-2114,-898,7780,-150,-691,255,-2848
4166,7302,3022,-449,433,-290,-2864
-5292,-10300,10676,599,-370,171,-2880
2780,3014,7038,-121,-329,-154,-2848
2266,-8336,11950,1066,490,-404,-2864
-470,3536,8506,-205,-35,-139,-2864
