AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-2710,-2312,14224,-164,-55,-35,-3136
184,1616,2350,-1601,1487,-184,-3136
-2106,-2622,12598,286,-372,-85,-3152
2272,1648,7490,1577,-1087,-200,-3152
-10,1740,4920,-2423,1933,-38,-3152
316,-4024,11330,674,-756,-181,-3136
1512,-606,5498,587,-149,-265,-3136
-802,682,8480,-923,773,-56,-3152
1008,540,8718,862,-776,-136,-3136
1194,868,5548,-1079,769,-92,-3120
-2226,-332,11898,281,-773,-188,-3152
3980,-2760,1876,148,456,-362,-3152
-2568,-150,10828,-393,154,-18,-3120
-332,1176,11572,1468,-1429,-135,-3136
5038,626,1478,-1681,1819,-305,-3104
-3342,-3082,13064,-1054,724,7,-3152
40,-3378,11600,2347,-1859,-157,-3120
2950,3394,1044,-1128,981,-124,-3136
-2306,-1578,12426,-968,714,15,-3136
714,-1988,11600,1995,-1530,-259,-3120
1768,2042,1838,-1686,1580,-209,-3120
-1916,-2828,13606,132,-205,-59,-3120
2756,2294,6086,1882,-1319,-217,-3136
1510,2610,2232,-2367,1951,-52,-3136
-1098,-3694,13264,242,-578,-184,-3120
1718,-666,4224,918,-194,-268,-3152
-472,138,6012,-956,855,-40,-3168
470,1196,10884,1089,-1063,-165,-3168
1288,506,4718,-1117,900,-106,-3152
-2014,-2150,10502,-4,-249,-70,-3152
4362,-1288,4636,1059,-819,-406,-3136
-2744,-798,11826,-252,74,47,-3120
1980,3418,9178,1485,-1489,-174,-3168
5078,972,664,-2331,2481,-250,-3152
-3928,-3532,13620,-165,-237,-6,-3120
1484,598,9410,2629,-2047,-188,-3136
2028,2556,1818,-2044,1747,-104,-3104
-2398,-1922,13162,-253,-77,-57,-3136
2970,-486,7500,1856,-1212,-292,-3152
-276,60,4078,-2170,2001,-107,-3120
-1958,-2908,13954,909,-894,-122,-3136
2402,2584,6154,946,-696,-215,-3136
-666,476,7302,-2349,1916,7,-3152
-158,-4162,12416,1117,-976,-238,-3152
1048,240,4866,343,100,-230,-3168
-662,692,10354,-417,409,-70,-3104
792,692,9848,672,-601,-140,-3152
142,210,6328,-1081,732,-82,-3152
-1524,736,12466,634,-1256,-260,-3152
3380,-2822,1112,-585,1207,-341,-3152
-3140,438,11082,-294,-24,45,-3136
482,2298,11006,1557,-1464,-160,-3136
4750,-420,968,-2057,2238,-275,-3136
-4220,-3854,14150,-497,57,43,-3136
824,-1922,11022,2678,-2114,-191,-3152
3138,3278,-684,-1814,1610,-140,-3184
-2780,-2312,14256,-606,284,31,-3152
1816,-1912,10356,2075,-1503,-311,-3168
1034,1866,1452,-2031,1912,-176,-3136
-1908,-2988,14480,315,-368,-50,-3120
2058,776,8404,1610,-1159,-221,-3120
594,2014,3124,-2583,2124,-38,-3168
-440,-4448,12812,870,-899,-186,-3168
1924,-1154,6148,1029,-400,-241,-3152
-610,714,6802,-1129,915,-41,-3184
474,760,10168,1242,-1136,-159,-3168
1606,1680,5158,-1017,734,-88,-3152
-2116,-1442,10900,-377,-64,-105,-3152
4010,-2338,3364,715,-308,-391,-3184
-2404,410,9398,-1006,909,-29,-3120
-1028,-224,12346,1411,-1301,-72,-3136
4686,1978,2672,-836,770,-287,-3136
-2776,-2300,11728,-1738,1496,-57,-3152
-1080,-4390,12368,2386,-1820,-99,-3120
3330,3498,2350,-300,168,-131,-3136
-1470,-734,10436,-1781,1491,-15,-3136
-928,-2516,12668,1904,-1447,-208,-3120
2580,1524,2280,-942,960,-254,-3152
-2246,-2160,12012,-1084,760,-91,-3168
-134,-680,11728,2314,-1668,-175,-3152
2576,2664,2172,-1756,1498,-142,-3120
-1758,-2460,13016,-505,3,-51,-3152
1798,-1216,5440,1560,-728,-286,-3120
42,732,4576,-1030,941,-78,-3168
-346,1200,11914,826,-987,-99,-3136
1556,564,4974,-770,619,-147,-3152
-2344,-1702,11264,-486,323,-58,-3136
2644,-132,8436,984,-962,-385,-3120
184,-584,6052,-1460,1811,-31,-3168
-1316,-736,12636,1572,-1466,-2,-3136
3126,3872,7248,96,-339,-307,-3152
-68,-1070,6262,-2482,2425,-170,-3152
-1184,-4848,12752,1976,-1758,-18,-3136
2676,2352,7442,1054,-891,-192,-3120
1012,1064,3970,-2699,2393,-39,-3120
-1258,-2766,13426,1736,-1528,-126,-3152
2858,2000,1822,235,176,-323,-3136
-1068,-834,6010,-2083,1622,-69,-3136
-322,-928,12280,2532,-2052,-203,-3152
2870,3096,1276,-1045,967,-201,-3120
-1302,-594,9530,-1637,986,6,-3168
1272,-3072,8904,2111,-1354,-291,-3168
450,1048,3632,-1016,997,-129,-3136
-902,224,11394,90,-309,-77,-3152
1162,1244,6984,166,-145,-178,-3152
-730,-1508,7058,-1198,1028,-8,-3168
-764,-216,12138,939,-1448,-328,-3120
2280,-1610,3060,-745,1358,-209,-3184
-1724,-804,11802,603,-600,37,-3152
3370,3540,6378,1032,-1156,-231,-3168
3374,-486,2184,-2333,2484,-186,-3136
-3174,-3788,13364,485,-818,-58,-3152
2784,2420,6410,1837,-1495,-227,-3120
2616,2528,870,-2240,2095,-37,-3136
-2326,-2482,13720,420,-614,-83,-3136
3278,768,5056,1095,-538,-338,-3136
100,972,2834,-2154,1925,-44,-3184
-1172,-2446,13924,1826,-1550,-147,-3152
2798,3378,3564,102,-67,-239,-3136
-358,1378,5432,-2074,1591,7,-3120
454,-3746,11358,1705,-1363,-281,-3152
1266,948,3218,-602,786,-202,-3184
-236,642,12256,1101,-1095,-135,-3136
1518,1330,4148,-1160,895,-128,-3152
-2912,-1606,12700,293,-766,-123,-3152
4460,-1966,2140,646,-122,-380,-3152
-2378,-104,10110,-1070,950,21,-3152
-732,-354,12778,1819,-1689,-138,-3184
4794,2272,1856,-1304,1122,-316,-3136
-2956,-2872,12384,-1485,1226,-7,-3136
-508,-4796,12182,2658,-1981,-117,-3120
3376,4068,1490,-904,653,-137,-3120
-2048,-1326,11372,-1833,1529,-3,-3136
-702,-2616,12968,2203,-1684,-200,-3120
2346,1884,2290,-1110,1071,-239,-3120
-1882,-2298,12596,-581,413,-59,-3152
2014,1542,7614,2189,-1609,-208,-3168
1970,2912,2268,-1935,1585,-92,-3168
-774,-2992,12284,-377,-99,-176,-3152
1210,-972,5642,1191,-364,-283,-3152
-130,510,5640,-818,707,-72,-3152
312,1434,10514,587,-711,-128,-3136
740,64,6116,-930,760,-113,-3136
-1544,-2572,9102,-11,-107,-79,-3152
4200,-606,5562,829,-685,-381,-3120
-1642,184,8856,-1297,1549,-26,-3136
-452,190,11552,1624,-1491,-54,-3136
3458,4342,5322,-400,31,-298,-3152
-1636,-1866,9102,-2283,2159,-122,-3152
108,-4134,11752,2358,-1827,-115,-3152
3294,3348,5008,324,-396,-206,-3136
-460,528,7852,-2341,1995,12,-3136
586,-2558,11574,1927,-1590,-157,-3120
3514,1114,4056,-455,629,-292,-3120
-2004,-1794,9434,-1586,1182,-76,-3168
1050,168,9916,2596,-2035,-199,-3168
3050,3318,2462,-1562,1355,-163,-3152
-1666,-1512,11906,-1131,521,-24,-3184
1636,-2172,7188,1809,-988,-280,-3168
-418,856,5640,-1110,1035,-95,-3168
1194,830,8008,907,-784,-158,-3152
-142,-744,6278,-1225,928,-94,-3136
-1850,-428,12164,525,-1021,-244,-3152
3642,-2340,1968,-123,769,-338,-3152
-2256,-296,10858,531,-557,51,-3152
1874,3308,9190,744,-992,-225,-3152
1514,-980,4248,-2326,2467,-226,-3152
-2248,-4816,12888,794,-959,-39,-3152
1680,1044,9202,1924,-1509,-197,-3168
1956,2032,2320,-2426,2207,-20,-3136
-1900,-2494,14192,551,-704,-82,-3152
2616,-168,7742,1133,-545,-313,-3120
-184,-614,4294,-1993,1704,-81,-3184
-570,-878,12468,1830,-1591,-207,-3168
2510,2666,5306,-323,287,-188,-3152
-1008,-38,8404,-1793,1268,19,-3152
1440,-3338,8936,1541,-1100,-304,-3152
32,552,4876,-542,724,-158,-3168
-928,430,11166,338,-368,-68,-3136
1628,1720,6232,177,-278,-172,-3152
