AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
5650,648,9008,828,44,-716,-2448
-5424,-5110,14574,567,159,-324,-2432
1506,1796,3864,-427,-97,132,-2432
7882,11226,1026,1023,-1560,-574,-2448
2708,-10862,8274,-1531,2099,-195,-2448
2448,8772,2412,560,-1624,199,-2400
2554,-842,18596,1773,-272,-257,-2464
1306,1362,4564,-2211,1835,288,-2416
-3048,506,6220,287,-1204,412,-2448
7444,4132,4326,-792,1164,-582,-2416
-8310,-7912,16574,221,98,38,-2432
286,2548,2962,-653,-235,-36,-2464
5864,2110,6666,1441,-460,-575,-2448
-7208,-6000,16374,-1039,1535,-306,-2448
-2720,2288,7452,572,-951,88,-2416
-1134,8792,16290,1770,-2153,-406,-2432
92,-14082,15008,-4025,3726,-269,-2464
-6282,620,6124,2898,-2928,117,-2416
4940,-4414,16846,581,352,-183,-2416
78,-4,7728,-2436,2405,176,-2400
-1234,400,7490,983,-1778,395,-2432
7848,1166,6238,-412,783,-545,-2432
-5684,-7060,15250,-1092,1147,-67,-2416
1230,1220,2126,322,-831,12,-2416
3126,-1272,12644,1430,-627,-341,-2432
-356,-3800,8256,-1798,2208,-466,-2464
-664,2350,4342,1674,-1803,47,-2416
-2812,1774,17632,1843,-2000,53,-2448
-3834,-17318,25052,-3467,3390,-160,-2416
-3050,4812,1986,1287,-1989,20,-2416
3004,-4358,22998,1492,-162,-92,-2400
-1764,-246,11088,-2787,2410,190,-2400
-6760,190,9338,1019,-1699,358,-2448
7538,2992,6956,-720,943,-392,-2416
-6828,-7934,16702,-237,524,-47,-2448
1348,786,2610,-38,-601,-34,-2432
3860,-926,12394,1642,-678,-606,-2432
-2306,-3760,9968,-296,861,-210,-2416
318,1988,3428,-55,-455,24,-2448
4264,11260,7654,1511,-1964,-326,-2432
6282,-6120,76,-3494,3456,-258,-2384
-252,6466,2476,1630,-2158,59,-2448
2326,-2458,23094,1580,-287,-208,-2416
-4126,-516,14662,-2559,2220,132,-2432
-4950,14,7666,687,-1431,390,-2464
6628,3544,6576,-886,1150,-476,-2432
-7098,-7800,15748,-6,385,13,-2448
988,-222,3618,-969,205,-72,-2416
7040,3328,-2604,-198,833,-811,-2448
-7848,-3932,17726,1571,-842,-279,-2416
980,1616,4254,-762,307,183,-2448
7326,11400,1912,-29,-592,-493,-2432
-9830,-16560,30744,593,415,-39,-2432
2178,8846,3168,-1171,-246,60,-2416
2094,-1576,20742,2410,-739,-323,-2448
-6382,1014,16986,-1539,1069,348,-2432
3382,526,7858,-25,-701,297,-2432
6612,3914,4266,-1682,1779,-534,-2400
-7454,-7380,14752,1654,-956,-16,-2416
904,-558,4750,-1233,244,-29,-2416
5734,1572,5586,809,63,-747,-2400
-6624,-5188,15720,371,202,-303,-2400
1218,1130,5814,-163,-252,60,-2416
602,8638,13034,760,-1307,-541,-2448
-564,-12904,15380,-1982,2367,-114,-2400
4998,7848,860,703,-1576,81,-2432
3002,42,12476,1637,-203,-341,-2416
-628,-648,8366,-1193,929,294,-2416
-566,-352,7508,-220,-599,340,-2448
6152,4000,1634,-1484,1616,-565,-2448
-6952,-5844,11890,1520,-869,9,-2464
1628,1154,2292,-1235,272,-78,-2432
6384,3246,1294,616,193,-632,-2432
-8058,-5696,17980,301,390,-293,-2416
700,532,7838,-824,331,150,-2400
11952,8156,-7012,-439,-253,-551,-2432
-4458,-16358,23876,482,516,-17,-2448
7316,7226,-1466,-1623,86,63,-2448
3470,1480,5722,2151,-525,-231,-2416
-3136,-812,12756,-958,592,335,-2464
1486,-144,8054,-321,-485,310,-2432
5638,2182,-862,-1424,1665,-607,-2416
-7918,-8588,18412,1803,-1146,66,-2448
1892,904,2010,-1281,306,-67,-2400
6682,3030,-1392,579,286,-776,-2400
-4010,-4296,12112,277,378,-319,-2416
1086,1784,3480,-246,-202,81,-2416
7014,10884,2948,474,-1068,-403,-2448
-8636,-15728,28570,1928,-455,-68,-2400
8370,3500,-3892,-2472,790,8,-2432
2912,-1276,19464,2003,-441,-439,-2416
-6222,-1286,16680,-321,58,439,-2448
3288,1110,7896,-315,-555,251,-2432
7050,4030,5706,-1426,1691,-584,-2416
-7832,-7746,16612,1694,-1134,34,-2416
1052,-292,4126,-1209,302,-11,-2416
7258,2178,-3546,222,510,-861,-2400
-6756,-5572,15840,1197,-420,-303,-2432
1352,1066,4480,-607,66,82,-2432
9990,10590,-2258,438,-989,-406,-2416
758,-12672,13686,-466,1254,-56,-2416
3140,8272,3344,-79,-1021,45,-2400
3140,42,15152,1713,-278,-69,-2432
-98,-334,7736,-1418,1183,343,-2448
-1714,324,7756,-150,-806,344,-2432
7106,4054,2234,-1393,1645,-678,-2432
-8096,-6630,14374,1173,-613,68,-2448
1024,1680,2264,-1150,189,-24,-2448
6514,2872,2984,901,-61,-707,-2432
-7826,-6032,17346,296,435,-365,-2432
-1286,2234,4944,-126,-400,148,-2448
1306,11214,12238,1288,-1813,-313,-2416
-3346,-16724,23782,-1950,2342,-165,-2384
5956,8320,1236,780,-1638,206,-2432
3194,-3914,22058,2106,-591,35,-2432
-1830,-926,10460,-2636,2211,253,-2416
514,1322,7152,612,-1422,394,-2416
7778,2168,6682,-821,1132,-513,-2432
-6942,-7332,16862,95,300,37,-2400
1322,578,2858,-466,-287,23,-2432
4248,-358,11678,1382,-532,-709,-2448
-2872,-4728,11366,-809,1408,-314,-2448
580,2152,3242,600,-1038,-44,-2432
4634,11682,7006,1960,-2213,-295,-2400
6532,-6284,-472,-4806,4236,-480,-2416
-536,6692,2542,3057,-3028,-61,-2448
2690,-2846,22862,596,283,-94,-2416
4070,3530,-816,-2483,2410,82,-2432
-5328,142,7432,984,-1744,352,-2432
7282,3616,6010,-557,829,-400,-2416
-7236,-7930,15992,731,-186,44,-2416
954,42,3654,-532,-318,-20,-2432
5500,644,8502,1077,-204,-744,-2400
-5014,-4260,13550,-725,1258,-272,-2448
876,892,4570,283,-712,71,-2416
-1836,7046,16758,1737,-2105,-404,-2432
2896,-10634,8532,-3779,3612,-223,-2464
2580,8882,2706,2058,-2435,164,-2432
5832,-4892,11192,742,281,-93,-2448
2028,2018,3192,-2647,2357,134,-2448
-3068,-150,6810,899,-1670,399,-2432
7332,1194,5136,-489,760,-396,-2448
-4550,-6472,13964,-140,431,-45,-2400
460,1752,2682,-339,-443,-31,-2400
5902,2232,5082,1529,-587,-704,-2416
1326,-2124,5358,-1410,1795,-322,-2416
-1958,2084,6026,1070,-1268,-42,-2432
622,8406,13402,1668,-1972,-241,-2432
9704,-176,-5752,-4710,4004,-514,-2416
-5664,1074,7672,3772,-3529,105,-2416
4764,-3328,16214,-627,1065,-159,-2448
-676,-426,8846,-1619,1958,54,-2432
-6918,1646,9198,670,-1558,429,-2432
8018,2676,5502,-158,542,-348,-2416
-6612,-7550,17364,-1065,1192,-139,-2448
-3560,2254,4820,248,-871,-5,-2448
3748,-1818,11930,1439,-649,-485,-2432
-1874,-3104,9490,-1882,2227,-472,-2432
-198,1844,4458,587,-874,24,-2416
3950,10846,8242,1732,-2071,-235,-2416
7008,-4924,-1120,-4174,3811,-348,-2400
-1770,5458,4470,2759,-2878,79,-2432
2882,-2998,21594,-222,904,-117,-2448
3226,3478,594,-1996,2003,147,-2416
-5410,1016,7480,718,-1596,402,-2432
7898,3252,5642,-348,765,-375,-2464
-1494,-5502,7470,-980,1077,-143,-2416
-1662,2908,3776,229,-825,-10,-2448
5062,56,10154,1544,-652,-414,-2448
-4822,-4936,13342,-1959,2273,-482,-2432
-4674,1710,10524,1598,-1693,-72,-2432
-2322,5882,17698,1396,-1705,-107,-2448
3772,-9414,5656,-5049,4152,-604,-2416
-9768,-3482,13024,4154,-3657,-123,-2384
7174,-3844,6898,-1596,1561,-113,-2432
1636,1252,3946,-1451,1833,12,-2432
-8484,2954,12380,925,-1896,384,-2448
7842,774,5050,-162,568,-335,-2416
-4518,-5942,13096,-1934,1833,-156,-2432
168,1866,2850,1133,-1428,-16,-2400
2422,-2340,11800,1108,-466,-473,-2432
1462,-2920,6024,-1740,2205,-492,-2400
-2172,2382,6428,1920,-1909,-133,-2448
-2126,842,15952,1475,-1644,-203,-2448
10438,332,-8216,-5559,4253,-640,-2416
-5848,1358,5310,5071,-3913,-140,-2432
4968,-4334,16218,-544,1005,-159,-2448
-182,126,7578,-2148,2260,139,-2416
-7844,1938,10980,1077,-1890,402,-2416
7966,1154,6224,-391,752,-372,-2432
-5880,-7474,15066,-1371,1384,-72,-2464
-4532,1238,5638,940,-1286,4,-2416
3172,-1632,12780,1347,-672,-555,-2448
-610,-3598,7926,-2133,2490,-427,-2432
-578,2678,4584,2066,-2038,-55,-2464
-2538,2840,16772,1297,-1520,-6,-2400
8246,-2680,-4028,-5393,4088,-640,-2384
-3284,3486,3628,4974,-4007,57,-2416
9054,-2502,-2716,-2220,1757,-170,-2432
4532,3872,-2136,-1203,1760,97,-2432
-6604,2370,8214,1415,-2134,418,-2448
5722,906,6454,-382,560,-291,-2416
944,-4048,2776,-2249,2172,-154,-2416
-3298,1878,4990,1908,-2037,-37,-2432
914,-1758,7898,409,-308,-331,-2416
