AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2022,1136,8640,-1211,467,-368,-2720
-3702,-1906,8188,725,-573,107,-2720
2808,-8132,7244,-197,-251,-421,-2752
862,6860,3638,250,250,-323,-2688
2100,-7936,13834,856,508,-182,-2720
-3104,5582,6850,-1118,-281,24,-2688
3172,2312,5802,-618,94,-93,-2720
834,-9662,10482,655,280,-138,-2720
-676,2140,6406,-36,-251,37,-2688
3892,998,11516,699,607,-351,-2720
-1808,3454,8314,-1555,497,-251,-2752
-508,-5976,9232,-149,16,-129,-2752
2920,-1836,4968,-66,343,-416,-2720
-1754,-2930,8858,90,376,-37,-2752
-3524,-2066,9920,622,-716,334,-2736
4592,13082,3046,-1109,250,-345,-2752
-4102,-7504,10602,376,-154,24,-2736
1872,-1280,8410,-497,-442,-198,-2736
2768,-9074,11906,902,360,-478,-2736
274,2816,7590,-247,230,-118,-2704
312,8154,7576,-419,459,-219,-2704
-268,-6214,10780,380,-112,51,-2736
3130,2044,6136,-943,105,-126,-2736
-1314,1226,5050,570,70,-117,-2736
488,-5974,12326,682,-69,-73,-2704
2150,8212,7644,37,677,-381,-2736
-1536,4624,8536,-1454,190,-181,-2736
-1044,-1652,5510,177,-53,-178,-2736
3344,-5326,7758,72,500,-390,-2736
-3836,894,6646,-9,-91,152,-2736
-406,-6192,11244,1188,-537,107,-2704
2906,4756,6744,-1186,455,-344,-2736
-4140,-4934,10496,743,-541,106,-2736
2880,-6838,6808,-318,-240,-397,-2736
1136,5146,4536,357,290,-322,-2736
2216,-8336,13560,815,460,-166,-2704
-2340,7158,6850,-1347,42,-60,-2752
116,4530,4096,265,-317,49,-2720
1786,-2430,6234,-133,319,-248,-2720
-2150,1948,7582,255,-119,9,-2720
2122,1810,7824,494,-90,-106,-2720
338,12176,5540,-778,659,-373,-2720
-1990,-3172,8096,-430,208,-197,-2720
782,-2608,8066,-192,-7,-287,-2720
1300,1262,4708,-78,513,-262,-2736
-4034,-1368,9198,127,-543,332,-2736
2002,-420,10198,397,-173,-155,-2704
-874,-2712,9516,-756,169,-151,-2704
-1782,4874,3746,39,-743,34,-2768
2668,-9202,10772,717,75,-522,-2720
-8,6614,5788,-341,132,-195,-2720
1362,1314,10022,400,438,-168,-2720
-2686,-1818,8758,-937,-280,0,-2752
2980,2890,5872,-259,-46,-93,-2720
1100,-10804,10706,651,409,-218,-2720
-988,3744,6200,-297,-304,84,-2752
3606,2786,8600,592,396,-268,-2720
-948,4836,9898,-1262,649,-321,-2688
-920,-2426,5506,221,-91,-198,-2736
3498,-5496,7588,-12,499,-358,-2736
-3508,378,6802,-29,-280,228,-2704
1854,-2392,10558,1183,-396,-17,-2704
-760,-2366,9890,-1195,432,-331,-2720
-4324,-8024,11926,665,-644,115,-2720
2570,-4906,6390,-107,-176,-429,-2720
134,6816,5960,209,224,-282,-2752
1466,722,9910,753,463,-157,-2720
-1792,8068,7338,-1459,-151,-32,-2720
-240,3522,4316,119,-245,18,-2720
1386,-10386,10472,298,433,-224,-2720
-1196,3598,6680,-36,-193,21,-2688
1642,316,9068,362,16,-153,-2720
782,13190,4634,-973,673,-374,-2688
-436,-11582,12546,-102,223,-190,-2752
296,-1806,7842,-413,-22,-268,-2704
1792,-530,5252,96,546,-208,-2720
-4322,-72,8506,139,-713,348,-2736
4136,13276,3530,-314,-35,-270,-2704
-3816,-6572,9872,-273,12,-55,-2736
-2002,5572,3470,-377,-677,-23,-2736
2734,-10400,10716,1196,300,-504,-2704
-8,4166,8080,-728,79,-111,-2704
536,10942,5560,-70,487,-194,-2736
-3100,-1340,8714,13,-129,32,-2704
3094,3676,5294,-805,165,-110,-2736
-862,-1654,6506,573,251,-117,-2736
20,-4490,10896,235,-193,-14,-2736
3744,2334,8258,715,693,-428,-2736
-978,5624,9886,-1799,374,-207,-2736
-860,-2162,5428,136,-26,-150,-2736
3602,-6054,7812,-62,435,-423,-2736
-978,-968,7798,132,197,12,-2704
-1180,-6426,11734,1013,-623,223,-2736
3564,8174,5276,-1284,399,-344,-2704
-4250,-7578,11380,873,-294,82,-2704
1218,1402,7090,-627,-358,-265,-2688
1536,1686,6750,745,287,-396,-2720
1936,-6692,11886,301,379,-131,-2720
-2072,7474,7786,-914,274,-161,-2720
-138,-10030,13008,415,-227,55,-2720
1650,-548,5198,-756,227,-181,-2720
-2222,1566,7296,589,-25,-88,-2720
1836,266,8716,670,-104,-43,-2720
3156,4934,9946,-404,647,-386,-2720
-2214,-1734,7872,-991,138,-194,-2752
302,-1328,7388,33,-61,-258,-2720
3554,-6202,7774,66,563,-349,-2736
-3682,1268,6574,-112,-376,264,-2720
1904,-2912,10858,1222,-370,-40,-2720
-674,-3342,10076,-1122,334,-284,-2720
-4110,-8128,11962,585,-693,102,-2736
2552,-5830,6576,145,-124,-478,-2704
180,6910,5926,75,219,-286,-2704
1332,1132,9430,766,463,-162,-2736
-1786,7774,7230,-1435,-211,-12,-2736
-478,4204,3856,47,-213,8,-2704
1106,-11082,10682,614,359,-167,-2736
-1312,4234,5930,-229,-313,55,-2704
3796,2138,8794,671,398,-295,-2736
-932,6622,8934,-1518,624,-279,-2736
-410,-11378,12144,82,81,-121,-2736
2820,866,4034,-436,271,-384,-2704
-1220,-180,7580,184,427,-78,-2704
-1000,-6960,11962,557,-707,328,-2704
4338,13246,3410,-1090,186,-320,-2704
-4090,-7376,11430,921,-272,73,-2736
1238,1468,7112,-647,-338,-275,-2704
1538,2630,6654,573,304,-405,-2704
2070,-7156,11906,525,447,-127,-2736
-1878,6532,8514,-879,371,-159,-2720
-10,-11114,13996,441,-204,86,-2720
1978,30,5008,-805,231,-198,-2752
-2318,1734,7520,616,-14,-65,-2720
1806,-108,8590,627,-111,-107,-2720
2950,5500,9822,-463,618,-401,-2688
-2208,-1948,7688,-883,177,-176,-2720
370,-2284,7920,-11,-15,-246,-2720
1612,932,4558,17,504,-351,-2720
-3490,-418,7106,-17,-357,240,-2688
1610,-2298,10520,1100,-400,-24,-2720
-306,-2730,10064,-1060,361,-302,-2720
-4176,-8652,12348,575,-655,105,-2704
2550,-3990,5942,191,-105,-464,-2720
250,6264,5906,52,251,-295,-2752
1418,-224,10404,665,465,-177,-2720
-1694,7398,7924,-1433,-185,7,-2736
-238,3860,4084,90,-197,17,-2704
1130,-11126,10808,416,384,-249,-2704
-1148,3984,6316,-155,-247,28,-2704
1604,-1026,9444,483,61,-149,-2736
874,12526,4960,-971,711,-333,-2736
-546,-10258,12034,-164,210,-160,-2704
2350,628,4136,-435,12,-298,-2736
2088,-452,5206,44,516,-212,-2704
-4410,160,8250,113,-652,315,-2672
3884,11102,4682,-32,-120,-203,-2736
-3462,-5674,9116,-478,63,-99,-2704
-2548,4422,3870,-176,-706,-27,-2672
2898,-11406,11006,1169,278,-552,-2736
-352,5572,7400,-723,77,-135,-2704
622,10230,5478,107,427,-181,-2704
-3186,1210,7640,-261,-162,17,-2736
2318,4162,5098,-609,58,-82,-2704
