AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-248,2722,5996,-293,137,-181,-2400
210,2388,4766,-300,204,2,-2400
5106,42,3102,-720,444,-384,-2432
-3566,-2630,11198,1499,-409,-121,-2416
-1480,3178,5954,-578,-538,59,-2416
7210,744,2308,-319,914,-420,-2400
-4222,-1222,12026,18,130,-80,-2400
-1448,-22,10276,230,-668,75,-2416
930,300,8064,-391,267,-92,-2416
2042,-178,5096,-409,636,-251,-2416
-1912,-840,9552,305,-249,-46,-2432
2264,312,6494,-142,117,-140,-2432
-1354,-630,9398,97,211,-155,-2416
2746,-146,5012,-688,55,-218,-2416
1054,-4032,10622,889,23,-285,-2400
354,836,6932,-1035,478,-78,-2432
806,1236,5784,659,-297,-44,-2400
-2590,2260,11450,133,-736,-279,-2416
2616,-6890,8208,-750,1259,-317,-2416
-1896,4436,5194,558,-905,80,-2400
1942,-240,12256,595,-544,-206,-2416
2202,348,7202,-1216,1596,-334,-2448
-2704,-670,9766,789,-1082,137,-2416
1792,-24,8344,-467,264,2,-2400
1458,1102,7524,-143,221,-267,-2432
-1006,-1614,9124,-20,266,-178,-2400
986,-382,7616,75,-271,-53,-2432
2626,-366,6450,-270,541,-205,-2416
-3142,2014,9560,163,-600,-172,-2416
2368,-4104,8818,-170,561,-284,-2416
256,2958,5964,-230,91,-163,-2400
-610,-3458,11850,767,-409,-20,-2432
-1612,3250,8000,-390,-296,-144,-2416
4846,-4472,3858,-1070,1315,-382,-2400
-3622,2864,6372,961,-941,19,-2416
4268,720,9798,409,-624,-126,-2416
4474,1206,6216,-1114,1588,-372,-2400
-4088,-1862,10840,617,-763,161,-2432
2582,668,6578,-349,19,-9,-2416
828,284,8052,-2,100,-224,-2384
136,-1250,8420,-236,508,-248,-2400
-114,-412,8162,182,-377,-54,-2400
3390,118,5892,-415,530,-223,-2416
-3766,740,11070,487,-575,-109,-2384
3134,-2840,6644,-829,701,-261,-2416
-216,3548,5708,603,-190,-226,-2432
-448,-2632,9680,-30,-19,-61,-2432
-100,2662,5312,-190,88,7,-2416
6452,-730,1532,-841,383,-424,-2384
-1348,-7724,14184,1528,-289,-153,-2432
-1232,2600,5968,-920,-278,96,-2400
7574,1998,1196,-73,711,-389,-2448
-2124,-2258,10328,71,204,-129,-2416
12,1350,8626,104,-608,81,-2416
980,-28,8278,-182,136,-121,-2400
2410,444,5486,-452,637,-314,-2416
-2052,-1344,8888,159,-162,-57,-2416
2912,36,6268,-125,98,-165,-2416
-2378,-252,9984,-1,333,-155,-2400
-102,2330,6546,-519,-102,-201,-2400
-98,2114,6586,-33,60,-183,-2416
558,1674,5598,543,-217,-23,-2432
4920,1840,3530,-927,348,-391,-2400
-3586,-4970,13338,1893,-557,-112,-2448
-974,772,8636,-915,-284,122,-2384
7588,1286,1836,-263,857,-393,-2432
-4340,-2488,12472,342,-24,-65,-2400
1696,568,7462,-39,-545,91,-2384
1660,668,7702,-221,181,-104,-2416
2188,22,6020,-394,615,-305,-2400
-2396,-928,9376,116,-172,-35,-2400
1878,92,7312,-71,75,-146,-2416
-496,-1376,8480,-41,319,-181,-2416
1384,1210,5620,-319,-303,-172,-2432
340,-970,9530,762,104,-305,-2432
320,2140,6070,-929,383,-80,-2432
356,170,7852,924,-504,-22,-2416
422,2474,9536,-231,-485,-256,-2416
4280,-4482,4808,-1052,1411,-391,-2400
-3644,2696,7424,732,-958,68,-2400
5004,672,8928,366,-404,-248,-2432
-898,-1578,8394,-884,1407,-346,-2432
-3840,-2438,10654,662,-1007,160,-2416
2578,1400,6534,-528,221,-34,-2416
2230,462,6442,-48,231,-287,-2416
-458,-1102,8476,-187,355,-146,-2432
448,-290,7782,72,-207,-105,-2416
1212,-664,7566,-184,571,-202,-2416
-1108,2740,7232,-75,-536,-179,-2416
