AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
102,-78,7944,-41,74,-163,-2336
102,-14,8032,-18,93,-142,-2336
102,-36,7932,-47,96,-148,-2352
144,-32,7946,-38,105,-160,-2336
68,-74,7968,-20,66,-156,-2336
114,-56,8002,-43,94,-142,-2320
86,-22,7964,-28,78,-155,-2352
114,-82,7970,-65,85,-167,-2368
144,-78,8000,-34,74,-159,-2336
154,-26,7940,-44,104,-142,-2352
138,-12,7940,-29,96,-142,-2320
110,-84,7940,-39,106,-161,-2336
94,-50,7970,-53,83,-171,-2368
102,-30,7944,-41,82,-139,-2288
94,-44,7934,-67,59,-164,-2320
92,18,7944,-43,96,-170,-2336
88,-46,7970,-29,82,-174,-2336
118,-82,7996,-37,88,-159,-2352
122,-44,7932,-40,62,-163,-2336
118,2,7924,-16,79,-154,-2352
96,-50,7966,-43,71,-140,-2368
90,-4,8024,-23,85,-146,-2336
102,-12,7892,-37,85,-172,-2320
164,-32,7966,-32,82,-158,-2352
96,-78,7954,-26,118,-159,-2336
18,-58,7940,-50,70,-154,-2304
102,-76,7900,-30,80,-150,-2304
120,14,7918,-42,101,-127,-2320
112,-34,7972,-63,52,-147,-2336
126,-88,7994,-43,108,-151,-2336
136,-52,8096,-39,58,-176,-2336
110,20,7936,-23,89,-148,-2320
104,-34,7950,-31,87,-143,-2288
78,-18,7964,-34,83,-164,-2336
98,-22,7976,-34,49,-147,-2320
184,-50,7980,-52,107,-145,-2304
94,36,7942,-43,114,-153,-2320
138,-12,7964,-44,91,-144,-2352
122,-52,7892,-24,108,-159,-2368
132,-64,7934,-63,106,-172,-2336
142,-22,7922,-36,81,-168,-2320
158,-38,7982,-31,101,-152,-2320
130,-42,7990,-40,85,-156,-2336
80,-18,7960,-42,58,-157,-2336
144,-6,7910,-42,93,-176,-2320
112,-14,7970,-53,91,-147,-2336
82,18,7964,-16,101,-172,-2336
142,-68,7986,-50,52,-163,-2368
76,-64,7930,-44,81,-115,-2320
126,-16,8048,-30,85,-149,-2336
84,-18,7940,-55,75,-170,-2368
110,-54,7970,-24,90,-147,-2336
114,18,7924,-36,91,-140,-2336
56,-14,7930,-35,92,-156,-2352
106,-54,7974,-32,74,-138,-2320
98,-28,7924,-51,73,-155,-2304
122,54,7948,-38,77,-137,-2336
124,-16,7962,-42,100,-156,-2336
92,-48,8006,-44,107,-148,-2304
96,-32,7958,-30,90,-156,-2304
122,-44,7962,-51,73,-165,-2320
56,-18,7954,-49,93,-166,-2320
100,-56,7966,-31,84,-148,-2336
142,-26,7966,-43,64,-123,-2304
170,-38,7912,-16,81,-147,-2352
106,-12,7950,-46,58,-161,-2336
68,-50,7986,-55,98,-149,-2336
94,-24,8000,-38,81,-150,-2336
106,-56,7982,-74,97,-173,-2320
116,-2,7932,-36,85,-138,-2320
90,-68,8010,-31,110,-135,-2336
44,-66,7986,-29,84,-166,-2320
138,-10,8008,-5,90,-173,-2352
80,-44,7988,-39,92,-125,-2336
92,-48,7994,-30,67,-142,-2336
82,-28,8004,-25,88,-157,-2320
104,-30,7936,-23,91,-148,-2336
120,-6,7992,-40,86,-152,-2304
82,-6,7942,-33,75,-160,-2320
106,-66,7924,-39,75,-148,-2352
88,-58,7942,-36,107,-146,-2304
76,-22,7924,-35,67,-153,-2304
140,-72,7950,-15,101,-134,-2320
154,-2,8030,-46,76,-160,-2320
94,34,7946,-29,96,-161,-2336
120,-82,7924,-33,68,-146,-2304
150,-20,7962,-48,94,-167,-2320
120,6,7982,-16,74,-146,-2320
98,-30,7998,-14,64,-153,-2336
46,-26,7896,-32,67,-138,-2336
120,-26,8050,-61,98,-152,-2320
128,22,8008,-25,78,-136,-2352
86,-12,7944,-57,91,-165,-2336
116,30,7958,-49,73,-154,-2320
112,4,8012,-54,102,-143,-2352
116,-18,7996,-35,92,-159,-2336
82,-8,7956,-28,78,-146,-2320
108,-18,7988,-34,60,-174,-2304
116,-66,7984,-39,55,-142,-2336
174,-62,7972,-46,115,-165,-2352
116,-74,7990,-40,67,-165,-2336
120,-44,7902,-47,97,-136,-2336
112,-16,8010,-52,76,-143,-2320
120,-2,7976,-25,91,-170,-2320
104,-34,7934,-36,72,-169,-2336
100,-64,7858,-53,63,-164,-2336
90,-54,7924,-47,88,-147,-2288
150,-70,7986,-38,114,-152,-2288
116,-30,7948,-50,88,-152,-2368
106,-26,7918,-43,106,-154,-2304
140,-42,7946,-37,64,-166,-2320
98,-62,7934,-37,54,-151,-2336
114,-82,8038,-28,78,-135,-2304
76,-22,7978,-35,72,-138,-2336
68,-28,7928,-25,80,-162,-2352
104,-20,7880,-42,98,-155,-2336
102,-8,7922,-31,95,-167,-2336
70,-24,7930,-47,68,-152,-2352
116,-34,7968,-47,84,-172,-2320
140,-18,8036,-28,88,-157,-2336
150,-62,7982,-44,110,-165,-2304
110,-16,8008,-28,95,-164,-2320
156,-32,7930,-32,81,-159,-2368
104,-24,7956,-34,83,-146,-2336
142,-54,7974,-20,89,-170,-2352
150,12,7926,-62,105,-138,-2320
98,-78,7934,-46,81,-181,-2336
88,-40,7986,-56,95,-157,-2336
114,-30,7960,-47,103,-147,-2352
86,-42,7922,-27,108,-160,-2288
126,-12,7968,-50,72,-131,-2304
134,-44,7920,-65,78,-142,-2336
74,-16,7942,-51,93,-156,-2352
122,-46,7976,-35,82,-154,-2304
86,-18,8034,-42,65,-154,-2336
76,-50,7954,-53,61,-163,-2304
138,-48,7950,-47,92,-157,-2320
122,-38,7972,-33,108,-138,-2320
100,-36,7994,-35,75,-152,-2336
80,-34,7932,-37,68,-172,-2336
86,-26,7962,-36,71,-152,-2320
92,-64,8008,-65,82,-129,-2288
124,-32,7948,-32,81,-161,-2336
156,-8,7966,-47,98,-141,-2336
126,-48,7968,-54,94,-144,-2320
112,-72,7966,-49,108,-176,-2336
120,-38,7976,-42,63,-147,-2336
112,-38,7900,-43,76,-147,-2320
146,10,7928,-46,84,-138,-2320
68,-6,7954,-36,96,-163,-2304
86,-90,7940,-33,68,-147,-2336
56,-42,7942,-61,98,-140,-2320
140,-2,7952,-42,63,-163,-2304
76,-32,8036,-36,101,-150,-2336
74,-68,7954,-45,91,-148,-2352
122,14,7984,-51,48,-128,-2320
110,-76,7996,-14,89,-184,-2304
92,-42,7952,-62,83,-165,-2336
112,-50,8010,-31,111,-139,-2320
80,20,7928,-29,73,-133,-2336
94,-40,8008,-33,115,-162,-2336
140,-62,7986,-38,74,-150,-2336
62,-20,7908,-19,75,-146,-2288
112,-30,7928,-50,65,-169,-2320
102,-54,7954,-27,93,-147,-2304
128,-6,7986,-23,97,-167,-2368
136,-48,7986,-50,104,-165,-2352
98,-22,7928,-47,75,-164,-2304
86,-54,7958,-27,65,-151,-2336
86,-10,7918,-35,77,-144,-2352
54,-24,7988,-44,90,-168,-2320
66,-44,7962,-22,101,-160,-2336
76,-54,7994,-48,92,-151,-2304
134,-42,7982,-30,97,-149,-2304
84,12,8004,-44,92,-150,-2320
122,-38,7950,-40,78,-183,-2320
98,-38,7978,-19,54,-159,-2336
122,-32,7968,-43,84,-159,-2368
60,-30,7960,-34,91,-142,-2320
126,-96,7996,-17,97,-153,-2352
110,-18,8002,-29,96,-156,-2304
114,-30,7944,-44,94,-155,-2336
138,4,8020,-39,93,-172,-2320
64,-54,7966,-44,97,-142,-2352
84,-12,7918,-69,70,-161,-2336
116,-48,8000,-42,89,-143,-2368
112,-18,7952,-40,59,-134,-2320
82,-50,7986,-20,120,-131,-2320
116,6,8046,-36,76,-167,-2336
56,-24,7974,-29,50,-146,-2336
98,30,8004,-48,82,-152,-2352
152,8,7994,-48,63,-144,-2336
70,-16,7930,-52,122,-166,-2304
94,-10,7966,-60,72,-162,-2320
158,-46,8010,-32,89,-161,-2352
76,-26,7988,-53,67,-135,-2304
