AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
420,-186,7974,-55,54,-129,-2128
468,-224,7840,-68,60,-139,-2144
504,-204,7902,-58,49,-161,-2144
416,-224,7912,-57,74,-130,-2096
464,-244,7876,-57,69,-121,-2128
474,-196,7900,-68,70,-142,-2112
466,-240,7926,-59,54,-162,-2144
490,-200,7910,-55,42,-140,-2144
404,-202,7898,-58,75,-163,-2160
482,-204,7928,-55,47,-154,-2160
468,-244,7964,-61,56,-148,-2144
456,-172,7936,-68,51,-144,-2144
464,-200,7904,-67,62,-140,-2144
440,-174,7888,-49,24,-160,-2128
464,-212,7878,-57,38,-146,-2128
484,-214,7942,-50,33,-146,-2112
468,-168,7952,-49,46,-148,-2128
434,-248,7892,-74,34,-143,-2144
464,-222,7916,-55,83,-131,-2144
460,-222,7948,-44,50,-141,-2128
464,-186,7900,-71,57,-143,-2160
452,-180,7876,-75,54,-157,-2128
440,-198,7882,-52,31,-136,-2144
492,-196,7916,-75,36,-131,-2128
490,-184,7876,-62,62,-154,-2160
412,-192,7956,-43,64,-136,-2128
430,-162,7954,-61,45,-155,-2144
476,-232,7890,-84,70,-145,-2112
456,-226,7898,-64,61,-152,-2144
432,-216,7920,-62,38,-124,-2128
408,-296,7882,-53,56,-154,-2128
464,-208,7900,-72,73,-164,-2112
486,-222,7906,-68,81,-138,-2112
432,-188,7948,-52,70,-133,-2128
492,-248,7872,-68,65,-125,-2128
462,-174,7904,-53,57,-164,-2112
484,-184,7946,-53,39,-134,-2128
444,-180,7902,-47,44,-154,-2128
438,-206,7926,-52,52,-158,-2144
444,-188,7924,-70,98,-125,-2144
428,-214,7932,-45,60,-159,-2160
462,-218,7956,-86,40,-161,-2128
424,-194,7960,-36,56,-140,-2128
458,-212,7874,-66,32,-154,-2144
438,-210,7950,-51,70,-153,-2112
474,-196,7868,-66,61,-149,-2096
460,-226,7932,-71,73,-146,-2128
466,-174,7934,-65,63,-165,-2160
518,-202,7848,-54,22,-154,-2144
486,-216,7848,-48,65,-111,-2144
454,-194,7884,-45,43,-158,-2096
470,-208,7928,-75,58,-152,-2128
432,-180,7900,-63,47,-163,-2128
468,-216,7876,-58,42,-155,-2128
460,-200,7924,-58,56,-157,-2128
474,-216,7902,-64,61,-128,-2128
446,-142,7886,-57,21,-143,-2160
508,-226,7898,-53,32,-161,-2144
452,-222,7882,-48,51,-157,-2112
414,-248,7912,-68,55,-156,-2128
428,-194,7966,-50,63,-149,-2128
430,-158,7924,-81,54,-142,-2144
532,-248,7904,-34,47,-146,-2144
478,-234,7886,-55,71,-162,-2144
468,-136,7914,-63,40,-127,-2128
438,-170,7890,-59,43,-131,-2128
418,-210,7874,-56,77,-151,-2144
476,-204,7946,-62,43,-146,-2144
490,-186,7888,-73,70,-143,-2112
472,-192,7884,-72,29,-171,-2096
460,-178,7886,-58,93,-138,-2160
468,-210,7896,-55,62,-134,-2112
450,-142,7878,-53,52,-149,-2144
494,-168,7884,-57,71,-143,-2160
450,-178,7930,-48,44,-137,-2096
442,-238,7848,-50,63,-149,-2096
430,-206,7858,-64,80,-162,-2144
430,-252,7878,-58,50,-134,-2112
462,-254,7902,-74,60,-159,-2128
444,-166,7900,-36,54,-146,-2128
380,-248,7894,-66,59,-156,-2160
426,-150,7898,-90,67,-151,-2112
476,-194,7884,-56,66,-136,-2112
438,-154,7850,-52,80,-150,-2096
430,-170,7976,-41,46,-141,-2128
454,-192,7878,-57,43,-124,-2144
462,-186,7898,-56,70,-148,-2144
458,-164,7912,-36,57,-156,-2160
492,-210,7946,-69,36,-143,-2096
420,-238,7954,-68,59,-150,-2128
456,-198,7886,-51,57,-143,-2112
462,-148,7968,-61,46,-148,-2128
480,-182,7970,-74,50,-144,-2160
504,-200,7824,-62,44,-146,-2144
458,-244,7908,-74,62,-151,-2144
456,-218,7928,-55,35,-150,-2128
464,-166,7914,-38,35,-149,-2128
488,-192,7850,-48,36,-152,-2128
490,-210,7998,-55,48,-140,-2144
448,-204,7954,-64,43,-141,-2096
494,-208,7978,-73,57,-162,-2160
436,-160,7908,-65,76,-137,-2160
440,-190,7850,-54,77,-139,-2144
448,-180,7926,-50,49,-149,-2144
470,-184,7954,-52,62,-133,-2112
498,-202,7994,-63,46,-146,-2128
496,-226,7928,-57,63,-132,-2128
508,-194,7918,-74,65,-145,-2144
460,-246,7950,-79,61,-146,-2144
488,-186,8000,-63,60,-140,-2128
416,-196,7966,-63,80,-147,-2160
460,-204,7912,-56,62,-154,-2128
450,-190,7878,-49,51,-151,-2128
526,-180,7892,-65,69,-134,-2112
490,-200,7932,-85,56,-164,-2176
472,-176,7894,-45,116,-135,-2144
468,-162,7902,-35,75,-165,-2128
418,-228,7916,-45,88,-134,-2096
420,-226,7934,-50,56,-146,-2144
522,-226,7858,-66,33,-143,-2144
476,-224,7954,-58,59,-145,-2128
460,-178,7872,-59,51,-154,-2096
496,-170,7892,-71,55,-130,-2128
482,-220,7866,-43,93,-160,-2144
496,-188,7966,-64,63,-148,-2144
458,-182,7852,-55,75,-159,-2096
438,-246,7934,-63,43,-150,-2160
454,-156,7942,-49,50,-151,-2128
434,-204,7904,-48,48,-152,-2112
438,-192,7890,-57,54,-160,-2144
440,-248,7966,-60,43,-133,-2128
430,-154,7942,-66,62,-158,-2160
446,-228,7892,-80,55,-166,-2128
498,-158,7922,-50,54,-126,-2112
478,-178,7888,-74,21,-159,-2176
488,-216,7852,-60,55,-143,-2144
464,-230,7948,-66,72,-154,-2128
490,-222,7886,-65,65,-158,-2128
470,-202,7920,-61,33,-144,-2112
418,-182,7952,-56,45,-167,-2144
458,-174,7894,-33,39,-127,-2128
478,-216,7898,-59,77,-147,-2160
482,-196,7890,-68,26,-147,-2160
484,-194,7928,-60,84,-135,-2112
436,-184,7936,-57,50,-157,-2112
452,-188,7876,-100,75,-137,-2128
448,-230,7948,-60,51,-139,-2128
442,-188,7892,-65,63,-141,-2160
446,-206,7858,-58,31,-141,-2112
448,-212,7902,-45,67,-166,-2144
448,-148,7882,-73,64,-133,-2128
490,-236,7878,-74,48,-139,-2128
434,-214,7928,-46,57,-140,-2176
482,-186,7934,-61,61,-151,-2144
526,-200,7924,-48,36,-142,-2144
436,-258,7968,-75,53,-141,-2128
482,-192,7918,-56,57,-142,-2160
422,-224,7940,-51,82,-148,-2144
470,-192,7942,-81,57,-130,-2128
414,-200,7956,-51,79,-147,-2160
500,-226,7906,-71,21,-152,-2112
450,-212,7968,-61,74,-150,-2144
