AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-3184,-3936,10092,-476,-412,-22,-3040
3956,2794,5462,-71,340,-381,-3040
-672,-7568,10878,402,605,-233,-3072
-2672,3432,6480,-745,-1566,435,-3040
8052,-3846,9712,1150,1391,-501,-3056
-4210,-11322,14496,352,-466,127,-3088
2894,10922,2660,-1325,-559,-217,-3056
1792,-7100,10250,1611,1380,-573,-3056
-866,-5768,11590,-855,-905,89,-3088
3178,2358,5356,321,455,-284,-3072
-884,-4200,11756,412,258,-57,-3088
1278,3956,6902,-1182,-438,-6,-3056
-472,1546,6122,230,407,-323,-3040
-1230,-1274,8540,-211,-170,-75,-3072
3976,346,6312,356,560,-363,-3040
-4484,1896,7724,-1302,-495,-150,-3040
1346,-1608,6620,683,-192,-126,-3072
4330,2144,3524,-886,356,-489,-3072
-5312,-682,8936,465,-662,322,-3072
6268,-8438,11890,1124,466,-271,-3040
-4480,4930,5988,-1717,-528,-146,-3072
-62,5724,5908,851,-435,141,-3072
4626,-3186,7220,-731,197,-642,-3056
-4932,9942,3376,-660,-458,-79,-3072
3810,-6724,10370,1444,674,-162,-3072
-780,-1202,10476,-715,-138,-192,-3040
-2200,4168,7664,-336,-287,83,-3072
3272,-6640,10294,296,595,-319,-3088
-986,2262,7754,-683,-115,-174,-3056
2492,-852,7102,436,138,-198,-3072
1688,5896,7132,-706,537,-387,-3072
-488,-5634,10180,198,-194,4,-3104
5544,3792,4316,-261,534,-437,-3072
-2966,-6934,12424,793,569,-151,-3072
-4454,6022,4898,-813,-1511,367,-3040
5688,5568,6366,68,1058,-550,-3056
-4988,-10788,15746,453,-502,180,-3056
4496,6840,2368,-1366,-529,-249,-3088
-1618,2540,6188,1557,1318,-539,-3056
-2852,476,8472,-641,-783,72,-3088
2062,8514,3440,-98,301,-290,-3056
-1522,-692,11088,426,284,-63,-3056
2440,-3448,9688,-1082,-445,-43,-3056
272,56,6870,8,330,-290,-3088
-818,-3644,8524,23,-110,-96,-3056
3472,2900,7242,239,614,-443,-3088
-3252,4806,6060,-1200,-490,-125,-3072
170,-4310,8434,648,-144,-166,-3088
2152,-1086,5612,-736,334,-427,-3088
-6170,4744,5270,394,-633,305,-3088
3988,-6758,11584,994,210,-188,-3072
-3122,9590,2366,-1851,-482,-205,-3072
-1782,704,7042,1106,-447,162,-3104
4100,-11330,11746,-720,186,-588,-3040
-3592,7026,4798,-453,-256,-130,-3072
3586,-10722,13034,1407,597,-108,-3072
-428,2660,8170,-830,-103,-197,-3040
-1050,7296,4646,-96,-270,104,-3040
3090,-5842,9932,71,541,-283,-3072
-1090,3692,6280,-654,-95,-210,-3072
976,-1406,7872,371,145,-232,-3072
78,7120,5682,-923,384,-352,-3040
70,-6796,10366,499,-209,21,-3040
4928,3094,3356,-463,559,-496,-3088
-5054,-1970,9758,707,-341,251,-3056
5506,-7694,11862,736,-38,-120,-3056
-4008,6802,4816,-1602,-233,-250,-3088
-790,3908,6880,1242,-348,184,-3056
4844,-910,6248,-969,108,-612,-3088
-4476,9066,3968,-197,-43,-173,-3056
3884,-8010,11434,1135,418,-110,-3088
-798,340,9548,-890,-148,-232,-3088
-2108,2942,8774,61,-98,60,-3056
3280,-6832,10460,-24,495,-274,-3056
-1010,3148,7216,-626,-49,-202,-3056
1816,-1430,7576,418,69,-185,-3088
2026,5064,7580,-378,704,-419,-3056
-1116,-5280,10240,-94,-304,-6,-3056
5454,3232,5280,-3,401,-379,-3088
352,-3130,7548,75,401,-257,-3072
-5340,6368,4362,-698,-1506,388,-3056
6748,2240,7664,949,1403,-527,-3056
-5312,-9088,15768,-756,-558,64,-3072
330,6766,5880,-480,-453,-102,-3072
3680,-11906,13228,1236,1294,-662,-3040
-3756,4072,6962,-1309,-1137,145,-3072
2472,7116,3818,799,577,-285,-3072
-646,-1804,10668,24,192,-133,-3072
-4,7430,4448,-1225,-604,61,-3072
884,-1330,7492,383,566,-305,-3104
-962,-3236,8748,-326,-115,-125,-3072
2508,-728,6892,374,370,-326,-3072
-2196,5806,5768,-1241,-171,-225,-3040
-172,-4932,9112,667,-263,-72,-3040
2790,378,4474,-882,400,-535,-3072
-3280,-5822,11772,1015,148,124,-3040
2812,-4734,11010,297,-525,30,-3072
-1860,10958,2048,-1411,32,-368,-3072
-2072,-2452,8982,1461,-332,222,-3072
2924,-9966,12224,1585,1340,-525,-3040
2968,-10458,13482,927,278,-97,-3056
-54,4884,6976,-873,14,-250,-3088
-1676,6212,5374,245,-84,60,-3088
2878,-4448,9694,-167,353,-242,-3056
-882,3298,5950,-492,17,-193,-3056
746,-2114,8282,281,-70,-138,-3056
540,7090,5928,-278,783,-452,-3120
-2740,-4460,10346,-181,-322,-2,-3056
4700,2814,5510,-22,348,-356,-3056
-1262,-6998,11006,166,507,-249,-3088
-6028,4662,5026,-439,-1410,420,-3072
7716,-1906,8844,856,1298,-493,-3056
-5668,-5616,14002,-526,-602,74,-3088
3222,9808,2504,-684,-530,-133,-3056
4180,-11284,12738,1138,1272,-706,-3072
-4312,7300,4824,-1287,-1090,101,-3072
3018,3674,5086,869,616,-318,-3072
-764,-3428,11682,15,164,-141,-3040
-554,7718,4084,-1202,-557,56,-3072
1560,-3468,8714,415,552,-288,-3072
-1132,-2114,8604,-383,-165,-122,-3040
3692,1336,6360,452,349,-311,-3040
-930,6524,5560,-1246,-222,-225,-3072
-144,-5196,9112,553,-286,-53,-3072
3788,2190,3352,-761,458,-503,-3072
-5556,-482,8368,1082,199,148,-3072
622,-72,8640,85,-731,62,-3104
70,11014,2316,-1176,187,-371,-3072
-2798,-6840,11040,1286,-409,239,-3072
4590,-4442,7880,-1470,-301,-456,-3056
-534,-424,7796,742,643,-361,-3088
1502,-9024,13058,398,-120,-2,-3024
618,6958,5220,-744,36,-264,-3056
-2330,5074,6916,400,149,10,-3056
1896,-2158,9172,-421,106,-159,-3088
-420,3300,5386,-405,94,-255,-3056
2634,-444,6966,373,296,-303,-3088
-3634,-1964,9456,-405,-363,-10,-3072
3312,946,6192,42,351,-359,-3088
-152,-6818,9996,223,547,-291,-3056
-3768,5142,5478,-627,-1504,408,-3088
4514,8592,4880,1054,1404,-538,-3056
-5262,-1834,11574,-674,-634,34,-3056
1990,10814,3460,-694,-534,-131,-3088
2572,-9340,11760,1311,1363,-670,-3088
-5228,10582,3328,-1363,-1120,108,-3040
3556,-380,6694,819,602,-286,-3056
-914,-3652,11486,69,185,-98,-3056
968,4828,6110,-1153,-597,78,-3056
2748,-4564,9028,329,567,-325,-3040
-1434,-588,8714,-302,-157,-92,-3088
3792,104,6450,402,378,-305,-3056
-3830,2924,7134,-1283,-145,-252,-3072
-76,-6358,9950,704,-214,-12,-3040
4960,2556,3370,-794,462,-499,-3040
-5050,-2416,9690,1025,146,88,-3040
5296,-7556,11568,82,-733,39,-3072
1750,11294,2766,-1291,39,-397,-3104
-3540,-9086,12706,1308,-395,204,-3072
4846,-1470,6346,-1370,-189,-523,-3072
-4656,9170,3962,496,507,-325,-3072
372,-7396,12570,633,79,-64,-3072
628,8924,4106,-813,-46,-253,-3072
-2368,2804,8558,355,1,67,-3040
3328,-6226,9864,-390,192,-202,-3072
-542,2310,5636,-419,45,-211,-3072
-104,-3500,8730,282,-22,-159,-3072
1906,5912,7434,-582,652,-458,-3056
-670,-5780,10380,173,-195,-7,-3040
5572,3088,5050,-158,555,-394,-3072
-2534,-7246,12278,533,511,-149,-3072
-4818,5184,4910,-623,-1437,379,-3072
-5084,2542,8190,-1319,-590,-24,-3040
4448,7240,2424,-1443,-400,-358,-3040
-1094,820,6934,987,880,-390,-3088
1898,-9190,12992,1,-305,18,-3056
2208,7424,4014,-399,222,-265,-3104
-1364,-1502,11368,467,168,3,-3056
2220,-2576,9446,-641,-46,-137,-3056
-450,3346,5656,-281,164,-249,-3088
-848,-3110,8498,77,-114,-102,-3104
3208,2706,7116,67,720,-427,-3056
-3480,-2404,9566,-823,-451,-93,-3040
3432,1120,6310,485,-39,-240,-3072
2372,278,4788,-638,351,-400,-3072
-6036,3698,5914,138,-911,421,-3104
8124,-6610,10922,1349,911,-339,-3072
-5280,-1930,11682,-1613,-595,-104,-3072
-1804,-1442,8346,521,-463,71,-3072
4354,-9866,11056,38,664,-704,-3072
-5258,10488,3162,-1067,-779,24,-3040
3700,-136,6668,1412,727,-236,-3072
-344,4184,7380,-497,3,-171,-3072
-1386,6114,5166,-577,-467,82,-3040
2932,-4494,9050,252,619,-336,-3040
-1428,-122,8678,-547,-91,-109,-3072
866,-1916,8240,385,141,-268,-3040
400,6846,5964,-760,532,-395,-3056
-44,-6626,10276,347,-212,70,-3088
5224,3032,3430,-416,498,-486,-3056
-1326,-7442,11332,888,555,-112,-3056
-1452,2332,6990,-677,-1442,313,-3088
2340,11088,3060,34,1046,-564,-3056
-3746,-9742,13688,554,-421,177,-3056
3442,10130,2402,-1365,-459,-268,-3056
