AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-2620,456,-5042,2232,-1355,-106,-3584
11390,11482,-9802,-3404,-227,-664,-3616
-11448,-3458,32767,5870,-3534,-648,-3584
-938,-13564,32728,-3497,1812,-176,-3584
7872,8528,-15862,-242,1554,286,-3552
3692,-2578,20146,3084,-1958,-20,-3552
-6798,-16358,32767,-1252,1970,53,-3552
2950,5828,-13936,-873,1092,290,-3600
2980,5256,6720,-223,-583,-162,-3568
-8320,-10998,32767,2057,-1065,-288,-3568
-8402,4686,29186,952,-2345,-78,-3600
12170,-1264,-22096,-3906,4175,-987,-3600
1244,9610,-4994,1184,-881,-378,-3600
-3144,-10474,32767,3122,-2341,35,-3600
-6060,-2768,24220,-2736,1264,364,-3600
8908,11446,-10028,-2424,2416,-298,-3600
-10286,-13438,32767,3732,-2450,206,-3600
-6116,-422,22790,806,-1246,21,-3568
4780,-294,-6054,-1841,2040,-370,-3600
-2956,3486,-7500,170,-359,59,-3568
11286,4450,-16692,-3884,921,-804,-3568
-4422,4076,13564,5256,-3284,-663,-3616
-836,-1492,3894,-2299,1207,-154,-3584
10202,10934,-16484,-1247,1586,376,-3552
7590,7904,30,2117,-1283,-47,-3584
-10330,-14694,32767,-434,1348,72,-3584
3340,7764,-13098,-1404,935,295,-3584
6066,10208,-6484,-2754,1666,-342,-3600
-8578,-10682,26146,2951,-1662,-264,-3600
-4628,5532,26852,1187,-3013,-212,-3600
958,-18128,23868,-851,2982,-850,-3568
7142,11912,-17206,-2914,1266,-272,-3600
-4106,-5628,27866,4330,-2966,98,-3568
-3432,-6932,31876,-44,-348,278,-3600
5970,-1268,-9150,-4522,4483,-300,-3600
2900,5388,-14410,2669,-867,295,-3568
3932,7040,4618,614,-1178,-156,-3568
-8988,-12718,32767,1141,-47,-302,-3600
-3396,5740,-5574,-32,-1427,13,-3568
11970,996,-20440,-4458,3202,-1031,-3600
352,7174,-554,3424,-2018,-481,-3600
-3672,-11298,32767,1552,-1163,67,-3568
9686,12368,-16256,-3066,1760,390,-3600
9072,10434,-8804,-1064,1390,-296,-3632
-11116,-12738,32767,3197,-2171,229,-3568
-5630,-770,25268,32,-712,64,-3584
4682,-3802,-5266,-3741,3394,-418,-3616
-1482,4714,-10942,1667,-784,3,-3584
1452,7836,22180,-680,-2139,-416,-3584
-5726,-15908,32767,3648,-927,-799,-3616
-1288,242,-1744,-4821,2384,-195,-3584
-2412,-398,14102,3217,-1071,146,-3600
374,-8334,32767,2339,-1637,48,-3584
-446,-7366,6234,-3516,3822,-47,-3600
4042,9178,-13562,248,520,336,-3584
-448,-80,24086,532,-1195,-149,-3568
-4510,-12594,25150,1557,-419,-263,-3584
-7132,3344,8784,-3,-1339,43,-3584
12360,-7134,-21740,-5389,3119,-1033,-3600
-12756,-2912,32767,4856,-3240,-539,-3600
-1492,-13464,32767,474,-478,72,-3600
4826,10742,-10210,-3080,2291,400,-3600
10592,11478,-19094,213,613,-268,-3600
-9166,-15794,32767,2515,-1615,214,-3600
-1110,8716,1972,-1722,609,120,-3600
6884,4694,-14592,-3165,2398,-368,-3568
-3732,210,-1774,2765,-1742,-173,-3584
-7404,3548,31346,1741,-3357,-287,-3584
5328,-21842,10978,-176,3011,-798,-3584
5834,13346,-25322,-3619,1568,-161,-3584
4202,5588,-8124,4558,-3126,24,-3584
-5568,-2816,25664,209,-413,231,-3584
9146,6318,-17646,-4682,4503,-189,-3552
544,2344,-8276,3300,-1390,260,-3584
-5150,-296,25282,781,-1282,-26,-3600
2606,-4938,1252,-1172,1669,-329,-3584
-2410,4254,-7296,-490,-17,64,-3552
12980,5622,-22852,-4385,968,-786,-3552
-9838,-13800,32767,6090,-4080,-612,-3600
-648,-3076,5420,-2274,1307,-113,-3584
12082,11962,-21764,-981,1946,308,-3600
6650,7300,-1060,3022,-1940,-24,-3568
464,-9586,7560,-929,1758,61,-3568
4604,9714,-15900,-1634,1296,264,-3600
5374,8958,-8328,-772,-23,-248,-3632
-8510,-8728,23926,2400,-1430,-261,-3568
-7934,4946,10776,942,-2579,-157,-3600
10380,-11778,-12292,-2717,3735,-918,-3600
9104,14690,-22538,-724,134,-344,-3568
-3426,-2534,20542,3592,-2605,51,-3584
572,7128,230,-2362,998,354,-3616
11868,13782,-19248,-2943,2804,-280,-3584
-7934,-6758,20118,3884,-2552,205,-3584
-3612,-3730,29268,-342,-497,32,-3584
7486,7588,-15496,-3571,2902,-371,-3584
-5188,-1968,876,1694,-729,-13,-3584
9682,9764,-2080,-1215,-1760,-439,-3552
3550,-18950,17418,3166,-479,-778,-3568
3668,10470,-17468,-4827,2255,-278,-3600
5066,6592,-9868,2757,-742,137,-3600
3216,-4080,24614,2519,-1719,152,-3600
8848,4120,-14666,-3948,4115,-186,-3600
630,3532,-9964,1145,163,343,-3600
1112,2968,15300,1576,-1822,-44,-3568
-6362,-13964,32767,-481,1174,-332,-3600
-2414,4518,-9494,-63,-848,41,-3600
11404,3110,-16610,-3898,1565,-943,-3616
-3570,4042,11452,4711,-2768,-631,-3616
-2356,-12594,32767,-500,233,15,-3584
10534,10904,-15934,-2217,1735,446,-3584
7952,8100,-1606,639,-44,-216,-3552
-10692,-14638,32767,1573,-552,166,-3552
-5292,984,18130,-1848,794,238,-3584
6744,12184,-9444,-2960,1597,-307,-3616
-9824,-9848,27140,3428,-2074,-279,-3584
-3696,5384,29222,1116,-3000,-212,-3584
28,-17726,25664,-1483,3631,-904,-3584
