AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
1290,6390,4662,214,227,-194,-3184
530,-2538,11840,374,187,1,-3152
2068,7654,6826,-1065,104,-112,-3168
-1110,-1334,7308,34,-8,-167,-3200
1164,-4926,7982,-118,22,-142,-3152
366,1200,9284,220,534,-256,-3152
-266,1644,9624,-259,5,-126,-3136
412,-1856,7344,-179,-138,-217,-3168
2164,3040,5540,-8,334,-375,-3168
-1176,-2884,7850,-74,261,-71,-3152
-740,-884,9842,279,-576,210,-3152
2468,7742,3622,-108,342,-340,-3168
-4836,-364,8890,-109,-445,59,-3168
1872,4974,4548,-354,-111,-188,-3200
1800,-4990,11232,543,792,-512,-3184
-2338,-1992,6954,-321,-447,10,-3152
1350,2436,5486,311,89,-199,-3168
-588,-3276,11108,106,207,-108,-3200
1950,4428,7650,-882,173,-60,-3152
1228,-5232,11116,58,176,-200,-3152
-272,-1236,6008,-288,-211,-111,-3152
1122,738,7404,250,389,-258,-3168
-902,2330,7678,-233,181,-190,-3136
1252,-974,9274,-276,-25,-176,-3152
1116,1610,4928,140,144,-371,-3184
-540,978,5952,-365,211,-183,-3136
-2104,-746,8170,354,-478,222,-3168
4480,3996,7884,221,402,-299,-3120
-1782,1738,10294,-613,-300,-35,-3136
-468,3410,4358,5,-516,-71,-3168
2932,-8108,11418,518,846,-501,-3168
-2308,2408,7520,-322,-432,1,-3152
1494,5576,4618,367,112,-171,-3168
-2062,-696,8086,81,180,-40,-3136
1834,7074,7102,-835,152,-65,-3184
-614,-1682,7730,52,167,-188,-3152
68,1644,7088,-358,-222,-77,-3168
1066,492,5210,263,441,-263,-3168
-194,1786,9306,-176,150,-135,-3136
336,-1322,7734,-334,25,-148,-3152
1132,-2060,8508,228,118,-307,-3152
-1040,-2290,7278,-424,192,-172,-3168
-914,-632,9654,403,-469,235,-3136
4914,-1574,10528,267,407,-239,-3184
-4340,360,9016,-592,-324,-14,-3152
1470,4532,4418,105,-552,-52,-3168
2906,-5520,6954,318,800,-549,-3136
-1782,5112,8192,-309,2,-33,-3184
1498,1298,6342,608,29,-147,-3152
-990,-2750,10448,-147,55,-106,-3168
-654,7338,5012,-648,84,-20,-3184
1430,-5418,11150,74,392,-188,-3152
-224,-998,6288,-453,-177,-100,-3168
1364,-1232,6760,256,234,-204,-3168
-506,2270,7352,-112,208,-177,-3152
774,-914,9602,-382,70,-135,-3184
1656,-4740,11136,381,137,-304,-3136
350,1212,5970,-566,217,-239,-3136
-2880,-32,7700,339,-518,287,-3168
4952,2256,8888,536,342,-249,-3152
-1090,2134,9874,-770,-14,-110,-3216
-982,2910,5088,321,-743,64,-3168
2974,-8508,10766,61,559,-529,-3168
-2456,4816,5486,-200,191,-99,-3152
2744,-4232,11468,733,132,-125,-3184
-2292,1018,7214,-545,-78,-132,-3168
-1064,3276,6516,-251,-101,1,-3168
1250,-5310,9796,-198,468,-279,-3136
-196,1686,7718,-411,-15,-71,-3184
2752,-4798,9872,322,238,-216,-3168
-1264,1858,7414,-74,114,-222,-3168
116,548,7946,-343,27,-130,-3168
1734,-2540,9682,365,328,-288,-3184
2354,3718,7274,-643,280,-290,-3120
-3830,-2728,7492,363,-491,128,-3136
4360,-3034,9836,589,-96,-74,-3136
1084,6268,5268,-724,535,-249,-3184
-1846,-4682,12260,545,-523,113,-3184
2872,-2924,5690,-566,39,-457,-3168
-1542,932,5642,221,226,-251,-3168
614,-6210,10744,544,102,-41,-3152
660,5702,7756,-504,210,-206,-3184
460,-2036,11734,169,-99,29,-3136
674,-48,6410,-694,94,-210,-3136
-874,2504,6788,-255,108,-139,-3168
2234,-3592,8624,318,370,-201,-3152
522,578,9202,10,178,-216,-3120
-1524,2054,6682,-378,-177,-150,-3168
1510,-5160,10398,261,143,-239,-3136
2450,3380,5556,-521,472,-393,-3200
-2642,-5256,10934,307,-259,67,-3168
1638,-2738,7584,413,-545,95,-3152
2646,8098,3550,-608,535,-380,-3136
-4150,-8154,13046,586,-322,157,-3168
4218,2746,6452,-741,9,-369,-3136
-2300,3472,4570,506,269,-389,-3184
