AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
3784,-10568,12158,6,659,-651,-3040
-3944,4886,6044,-1028,-842,47,-3040
3746,-6248,10596,1161,677,-235,-3040
-866,-748,10496,-330,56,-192,-3008
-324,8494,4112,-1018,-543,90,-3040
1178,-2258,8158,442,742,-313,-3040
-1026,1978,7090,-550,-171,-125,-3040
1930,-730,6722,372,179,-273,-3008
-1454,6146,5874,-809,269,-290,-3008
20,-6048,9850,429,-245,35,-3008
5430,3150,4964,-402,576,-558,-3040
-2792,-7122,12116,812,425,-18,-3008
864,-1112,8610,-612,-1435,257,-3024
-456,10550,1908,-231,819,-523,-3024
-5394,-8854,15360,660,-424,222,-3024
4420,7396,2512,-1236,-426,-286,-3024
-706,-414,7914,1511,1281,-519,-3024
1812,-9210,13314,-439,-719,100,-3024
974,7118,5888,-743,96,-285,-3024
-2112,4738,7302,316,16,38,-3040
1910,-1664,8654,-428,163,-191,-3040
-906,3542,4536,-563,-23,-189,-3008
20,-2300,8062,302,-58,-116,-3040
1124,5480,7452,15,815,-460,-3008
-3788,-1170,8948,-500,-459,9,-3040
3638,176,6238,279,232,-330,-3040
-632,-3984,9062,-271,402,-342,-3040
-3644,3384,5688,-158,-1219,408,-3024
7496,-4958,9706,1023,1085,-442,-3024
-5020,-662,10202,-1040,-519,-11,-3056
1822,8462,4618,27,-432,-21,-3056
2796,-9228,11588,663,989,-657,-3024
-5036,9936,3796,-1159,-1012,80,-3024
3752,-1260,7676,1116,678,-260,-2992
-1302,-3118,12040,-294,40,-178,-3024
826,6348,4826,-1231,-589,53,-3056
-422,340,6758,335,575,-321,-3040
-1384,-358,8568,-290,-209,-87,-3040
3508,-266,6176,371,343,-312,-3040
-3542,4752,6076,-1198,-255,-171,-3040
504,-4040,8100,637,-272,-69,-3040
5366,3072,4320,-720,576,-556,-3040
-4134,-5028,11472,859,144,149,-3072
4136,-5016,10444,160,-629,22,-3040
-2720,7272,3812,-1098,166,-343,-3040
-4442,-9102,13492,1123,-481,227,-3040
4752,2158,4552,-1288,-209,-469,-3040
-3528,6326,5522,518,458,-292,-3040
3290,-8622,12218,625,42,-33,-3040
1520,8984,4158,-754,26,-265,-3040
-1810,1454,9508,357,94,46,-3040
2968,-5946,10444,-422,152,-191,-3040
-978,3492,5992,-534,-56,-211,-3040
-392,-3914,8858,312,-3,-167,-3072
2544,3504,7982,9,771,-438,-3088
-1962,-3802,9720,-656,-446,-30,-3056
4984,2192,5860,429,204,-306,-3056
832,-542,6458,-476,339,-349,-3056
-5798,4532,5010,-122,-1172,431,-2992
7496,-346,8592,1114,1141,-433,-3056
-5618,-6186,14408,-1166,-580,-14,-3024
-380,3750,7002,69,-438,15,-3056
4090,-10874,12480,615,1022,-664,-3024
-4426,6270,5608,-1155,-971,74,-3056
3176,4684,4864,1131,654,-235,-3024
-828,274,9882,-284,129,-171,-3024
-688,7800,4364,-1010,-548,104,-3024
1554,-2316,8338,412,741,-346,-3024
-1190,-3458,9042,-419,-165,-99,-3024
2074,-790,6898,321,179,-295,-3024
-1534,6600,5510,-1019,85,-267,-3056
2454,-1008,6524,335,132,-285,-3024
-2948,-6710,11862,899,299,75,-3040
1134,-1448,9282,77,-711,56,-3024
-316,9958,2694,-1090,205,-398,-3024
-2660,-5448,10108,1221,-418,250,-3024
4620,-5362,8700,-1334,-268,-478,-3056
-1072,728,7196,630,564,-332,-3056
1698,-9108,13048,453,-59,-25,-3024
370,7104,5404,-752,85,-281,-3024
-1430,-1894,11556,467,153,47,-3040
2458,-1788,8904,-513,119,-160,-3056
-788,3402,5206,-440,6,-225,-3024
470,-2632,8372,247,-60,-119,-3024
1090,5824,7332,59,841,-510,-3056
-3886,-1448,8910,-628,-486,6,-3024
3574,440,6074,337,164,-298,-3024
-806,-3734,8704,-468,324,-344,-3024
-3872,4434,5498,-70,-1115,420,-3024
7922,-5558,10310,1059,1147,-454,-2992
-4910,-500,10764,-1001,-474,-22,-3024
2192,7510,5122,32,-435,-9,-3056
4222,-6896,9320,332,798,-659,-3040
-5224,9792,3362,-1172,-982,76,-3024
3276,-914,7662,1098,667,-232,-3024
-1118,-2690,11558,-244,32,-157,-3056
-1468,6228,6052,-828,-450,61,-3040
3238,-5424,9868,383,733,-338,-3008
-1118,-790,8768,-523,-138,-124,-3040
3300,-38,6482,368,175,-254,-3040
418,6024,6768,-868,236,-275,-3040
-572,-5384,9960,295,-329,31,-3040
5102,3708,3846,-411,591,-518,-3024
-4042,-5148,11588,914,358,32,-3040
3978,-4918,10690,-280,-1025,142,-3040
3450,8068,4952,-702,491,-473,-3040
-4512,-10014,14186,1047,-417,241,-3040
4382,-9086,11088,748,1059,-655,-3040
3170,-9026,12458,1259,517,-144,-3056
-448,3410,7854,-762,-77,-242,-3024
-1362,7058,5058,-284,-303,82,-3056
2856,-4166,9082,119,626,-322,-3024
-956,3016,6102,-627,-98,-163,-3056
1078,-1488,7594,322,36,-204,-3024
-94,6594,6420,-379,699,-451,-3024
-282,-6794,10614,4,-340,37,-3024
4900,2420,5402,-70,495,-399,-3088
-1898,-6154,11006,281,469,-209,-3024
-1502,2186,6784,-620,-1449,372,-3024
2362,10044,3130,456,1238,-525,-3024
-5286,-5368,13842,20,-472,131,-3024
3530,8760,3302,-874,-417,-181,-3088
1330,-5414,10064,1444,1354,-616,-3024
-4816,7954,4326,-1146,-1127,130,-3040
3178,3454,5188,310,490,-301,-3056
-1362,-3450,12204,225,161,-69,-3056
1720,3694,6212,-1309,-529,-8,-3056
2112,-4020,9384,343,565,-354,-3040
-1092,-2378,8794,-232,-171,-82,-3040
3960,-46,6326,381,431,-363,-3072
-4646,3430,6614,-1205,-294,-198,-3040
-114,-6652,10440,704,-265,-49,-3040
4778,3484,3468,-790,545,-529,-3040
-4920,-2618,10164,826,86,161,-3008
5698,-6402,10744,106,-572,31,-3040
1864,9338,3608,-1034,227,-380,-3008
-3490,-8632,12574,1167,-417,253,-3040
4670,-748,6066,-1237,-187,-495,-3040
-4394,8278,4652,-313,-198,-110,-3072
3780,-7480,11268,1234,482,-120,-3040
-988,636,9804,-445,-35,-174,-3040
-584,8712,4188,-867,-454,59,-3040
1526,-3292,8660,395,740,-340,-3040
-38,-3794,8562,328,52,-125,-3056
-1030,6674,5970,-690,421,-311,-3040
152,-6992,10426,352,-301,33,-3040
5268,3452,5076,-367,569,-550,-3040
-2464,-7314,12024,873,486,-11,-3024
-98,634,7796,-621,-1347,203,-2992
416,11158,1942,-370,773,-525,-3056
-5490,-8106,15396,680,-430,228,-3040
4260,8604,2374,-1376,-411,-294,-3056
142,-2746,8710,1514,1261,-537,-3040
984,-8308,12932,-556,-780,118,-3008
2812,5968,4076,-234,291,-314,-3008
-1264,-2672,11718,417,267,-46,-3040
1914,314,8028,-1106,-381,-60,-3008
-982,3258,4910,-20,294,-296,-3040
-1166,-3662,9050,105,-88,-80,-3040
4204,1062,6874,307,696,-460,-3040
-4352,292,8310,-1141,-624,-98,-3040
2916,-332,6124,615,-129,-185,-3072
3592,1838,4288,-790,433,-473,-3040
-4480,4110,5302,-186,-1226,397,-3040
7394,-6572,10532,1131,986,-348,-3024
-4758,930,8996,-1246,-515,-64,-3024
1090,7620,5430,273,-460,6,-3024
3322,-10220,12302,344,818,-653,-3056
-5194,10476,3374,-1082,-899,58,-2992
3904,-3178,8610,1288,690,-238,-3024
-1284,-2606,11638,-457,-23,-193,-3024
636,7508,4298,-812,-417,58,-3056
3394,-6284,10032,387,755,-328,-3024
-1420,656,8214,-558,-184,-80,-3024
3204,-732,6436,398,104,-232,-2992
-3148,6092,5544,-848,321,-289,-3024
-140,-6678,10590,469,-241,37,-3024
5660,3468,4386,-389,627,-533,-3024
-4048,-5266,11616,714,403,-47,-3024
3274,-3952,10170,-414,-1241,230,-3024
-5272,-1438,11076,-1382,-503,-94,-3040
2128,8316,4258,-116,-508,-14,-3056
2520,-8348,11016,740,1065,-677,-3024
-4960,9282,3632,-1181,-1070,124,-3040
3346,20,7004,888,617,-291,-3040
-800,-3562,12144,-4,175,-160,-3072
890,5480,5450,-1162,-570,79,-3024
2814,-5336,9750,459,688,-304,-3024
-1084,-1268,8778,-451,-161,-127,-3024
3348,96,6220,381,233,-281,-3024
-3518,3978,6306,-1080,23,-257,-3024
-74,-6178,10192,565,-251,6,-3024
