AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2950,8816,16902,411,553,213,-4064
-380,-8224,4848,1988,685,-276,-4080
-3268,-1066,16808,-2751,-966,-584,-4048
-1466,4688,10008,2048,613,-1,-4048
174,-7744,11018,-1474,-755,-236,-4080
-1358,8778,15300,-389,568,134,-4048
1626,726,-4030,2046,441,-169,-4080
-58,5732,17354,-3026,-665,-144,-4064
-582,188,7568,1281,661,-5,-4064
-472,-7524,6482,-2188,-934,-581,-4064
3250,6034,1432,2922,687,24,-4064
-844,5830,12334,-2323,-348,-393,-4096
-2822,610,5290,1337,-188,-277,-4096
4320,-116,2574,-1292,229,214,-4064
-3268,-886,13312,-2137,575,-84,-4064
424,-6308,156,2004,322,-206,-4064
3004,7786,10288,-3385,255,-24,-4080
-1612,5638,5032,2851,948,-291,-4080
320,-7738,4314,-2448,-1056,-421,-4064
-1416,4540,10874,-72,-123,-143,-4032
5274,-6402,-4204,2000,831,93,-4064
-3354,-2822,15740,-2448,-935,-205,-4080
-930,7564,13232,1227,332,-37,-4064
1960,-4422,780,-180,441,-5,-4064
-3872,984,17208,-1024,-716,-353,-4096
802,-12370,10218,1290,-666,-370,-4096
-174,9870,10702,773,588,-17,-4064
-2666,-2410,942,-170,-211,-456,-4064
-1484,4752,12708,-481,-578,-81,-4064
3676,666,5404,1157,1241,433,-4064
-4928,-15602,15660,-677,-1346,-464,-4096
2718,10302,19226,1576,832,233,-4096
1354,-7846,1794,511,575,-225,-4096
-3880,7914,16498,-1776,-461,-512,-4048
812,-748,726,2085,530,-47,-4048
1752,-8958,5960,-2419,-1288,-379,-4064
2114,6418,5170,1298,1112,328,-4064
-518,-5684,-950,908,45,-236,-4096
732,3722,14230,-2475,-615,-137,-4064
-1434,802,10468,1343,838,36,-4096
-2654,-2302,10896,-2297,-949,-597,-4064
3578,-2108,2608,3130,523,14,-4064
-932,3306,11774,-2521,-486,-463,-4048
-2800,2308,8156,1503,-248,-251,-4080
4700,-1838,2150,-979,454,297,-4048
-4742,-7674,17202,-2629,129,-210,-4080
3122,-898,-4790,2423,741,-68,-4080
2498,2882,5778,-3696,209,-164,-4080
-2150,9794,8040,1987,804,-331,-4048
-1602,-5324,12048,-1996,-842,-359,-4064
-2576,4294,16574,-1035,-631,-207,-4080
5390,-2758,-4206,2455,1056,178,-4064
-3140,-6046,10890,-2370,-909,-229,-4096
596,5280,1994,1505,419,-65,-4096
2864,-5016,-160,-560,359,-1,-4032
-4330,334,17480,-878,-617,-315,-4064
1692,-10298,8640,1193,-686,-357,-4064
1282,9192,5900,881,519,-26,-4064
-2082,-3104,3254,-207,-216,-445,-4064
344,5258,10960,-256,-549,-75,-4096
2184,4416,6234,943,1151,450,-4064
-5582,-11212,19514,-753,-1240,-448,-4096
3868,7936,10626,1815,888,242,-4096
356,-9294,2956,24,529,-269,-4096
-742,-7134,9098,-3300,-1192,-554,-4048
-646,3022,5718,1377,398,-53,-4080
4498,-8580,-1420,65,-91,-102,-4048
-2834,1966,17940,-1827,-178,33,-4048
-114,6354,6402,2285,722,-82,-4080
1670,-168,7540,-2494,-252,-111,-4048
-3108,1322,14990,214,14,-118,-4080
70,-12136,9358,-795,-859,-503,-4048
3922,3826,354,2747,905,84,-4096
-1196,-608,8944,-2240,-526,-465,-4032
-2506,4750,12076,1299,-382,-167,-4064
4598,-2250,3028,-87,718,360,-4096
-3066,2838,13786,-2921,-526,-364,-4096
5114,4102,-5660,2952,1141,66,-4064
1796,-3732,1282,-3487,261,-268,-4096
-3112,10814,13018,766,508,-420,-4032
380,-8390,5122,-197,-298,-193,-4064
-3108,1386,20584,-1692,-999,-301,-4080
3866,2492,158,3301,1470,292,-4080
-1966,-7122,4082,-2030,-957,-268,-4080
-640,7134,10094,706,128,-44,-4080
2330,-5142,112,345,625,55,-4080
-3658,-856,14416,-1339,-811,-405,-4048
596,-13084,9944,1599,-687,-313,-4064
22,10688,10490,-145,362,-80,-4080
-2370,-2792,346,699,-11,-417,-4080
2200,3990,7796,-964,-637,-67,-4064
4036,-146,4666,1157,1353,455,-4096
-5154,-15364,16580,-260,-1232,-458,-4064
2610,9894,18372,1039,682,239,-4064
-672,-7134,4470,989,586,-303,-4096
752,-8108,3442,474,-59,-169,-4096
1106,-8354,9226,-1944,-1089,-306,-4080
-1396,8078,15724,441,918,293,-4048
1280,1942,-3058,1464,290,-168,-4080
198,4776,16054,-2962,-625,-168,-4080
-830,640,8876,1289,708,-4,-4080
-514,-8790,6616,-2153,-1001,-591,-4080
3346,-3764,4404,3083,564,27,-4064
-664,4524,11696,-2311,-373,-366,-4080
-2896,930,6684,1479,-197,-267,-4048
4384,-1674,3230,-1518,116,188,-4096
134,7822,7226,-1904,766,-25,-4064
1604,-4000,-3158,2021,271,-220,-4064
2682,6332,8440,-3572,200,-59,-4096
-1846,8020,6026,2908,946,-311,-4064
-2640,-3566,15642,-2665,-1099,-465,-4096
-2058,4880,13554,226,-55,-108,-4032
5854,-5270,-5092,1610,681,103,-4064
-3478,-3904,14220,-2350,-496,-87,-4080
1214,2900,-1694,2200,666,-72,-4048
2358,-3674,1506,-1882,-23,-46,-4112
-4260,670,17496,-154,-314,-186,-4080
1202,-12394,10250,-124,-893,-477,-4048
3064,8358,1510,2147,871,80,-4048
-1956,-3306,4690,-1347,-440,-473,-4080
-1198,4514,13996,568,-589,-131,-4112
4780,-2396,1356,596,932,392,-4096
-4660,-5862,17314,-2716,-795,-412,-4064
4560,6790,3440,2882,1051,138,-4064
1298,-8542,1652,-2642,379,-272,-4064
-1954,9580,7338,60,267,-422,-4064
1286,-7920,768,535,-79,-176,-4064
-2542,-2984,19984,-2253,-1273,-351,-4064
1614,7488,6710,3335,1637,359,-4064
-3532,-5636,13178,-1297,-876,-283,-4064
858,3508,13480,-1745,-471,-129,-4080
1534,-3656,1876,1476,926,27,-4080
-194,-10060,7302,-252,-887,-468,-4064
-818,9694,13264,1082,725,38,-4080
-1990,-3106,3088,-309,-173,-433,-4048
-832,4412,13002,-269,-681,-77,-4112
2642,3076,7066,1096,1170,488,-4048
-3670,-14712,11250,-1219,-1189,-465,-4080
4354,6876,5856,1975,813,215,-4080
1086,-8376,2438,-375,554,-257,-4080
-3876,5278,16782,-1484,-340,-536,-4048
1180,-6902,740,1439,272,-116,-4064
-1908,-3868,18302,-2335,-1233,-340,-4080
886,7876,8382,1848,1294,279,-4080
436,-4222,-3198,132,-401,-255,-4064
-938,7840,17336,-1777,-496,-133,-4064
1116,-2724,3060,1503,887,95,-4064
-1856,-3736,9064,-2361,-963,-551,-4064
3794,280,2002,2979,152,-33,-4064
-884,8968,13498,-1886,-140,-245,-4096
-2602,-898,1614,1421,42,-330,-4064
3596,2064,3240,-1796,-217,73,-4096
-1390,6876,9984,-353,1197,273,-4080
-3042,-13948,9504,1499,-697,-382,-4080
2584,10182,18678,-1757,320,147,-4080
-1566,-1542,5136,3087,932,-280,-4080
-1384,-6558,10774,-3239,-1241,-572,-4080
-190,2488,4574,1627,535,-36,-4048
3912,-8872,-252,-335,-221,-126,-4080
-2830,3322,18048,-1675,-37,22,-4048
962,-2854,-4250,2275,666,-93,-4096
1414,900,9124,-3027,-476,-142,-4064
-2608,1414,13772,645,295,-28,-4032
36,-11910,8726,-1468,-931,-581,-4064
3904,2790,222,2843,942,95,-4064
-1156,74,9146,-2252,-474,-433,-4064
-2686,3334,11774,360,-645,-115,-4064
4508,-1540,3736,903,1045,429,-4064
-5388,-13310,18238,-2349,-865,-418,-4080
2954,9036,15018,-2780,240,39,-4048
-3032,10420,11888,-1117,-161,-510,-4048
1500,-4658,-916,1526,316,-102,-4080
-724,-6702,13848,-2571,-1398,-406,-4080
-488,9394,12760,2431,1451,351,-4080
-2372,-7226,5534,-75,-425,-247,-4080
-312,6448,17990,-1651,-469,-96,-4080
68,-1030,6062,1520,923,76,-4080
-3940,-364,15560,-2342,-1011,-532,-4064
2672,-7086,6122,3060,270,-46,-4080
-706,5904,13218,-1637,-140,-218,-4064
-2960,224,5646,1113,-13,-364,-4064
2034,4606,7032,-1412,-131,95,-4064
770,6636,7380,-847,1111,195,-4096
-40,-6820,1638,1448,-555,-359,-4096
3062,8094,10894,-1805,430,141,-4064
-544,-8014,5016,2669,823,-271,-4064
-3278,-760,16986,-2974,-1152,-527,-4064
-1528,4188,10204,1419,430,-58,-4096
5434,-6414,-4112,-694,-427,-191,-4080
-1188,8070,15004,-1260,160,70,-4080
1658,1656,-3568,2188,635,-92,-4080
2154,-2574,3612,-2858,-407,-110,-4080
-4026,1186,17280,616,241,-64,-4048
-714,-8154,6622,-1187,-870,-540,-4080
2906,6596,1994,2537,791,31,-4112
-1520,-1452,6072,-2057,-392,-442,-4080
-2620,744,5584,1480,-296,-208,-4064
4294,-1482,3488,-654,404,307,-4096
-4140,-3604,16732,-2425,-71,-258,-4096
4940,4770,738,2697,821,-40,-4064
1022,-7206,3150,-2144,330,-270,-4096
-3876,8112,16262,-171,152,-446,-4096
1132,-8172,1912,865,73,-163,-4064
-2782,-1166,20396,-2398,-1290,-364,-4096
2398,5998,4026,2942,1517,362,-4096
-1164,7314,15172,1620,459,-61,-4064
1776,-3808,1728,1039,839,69,-4112
-2802,-2384,11224,-1884,-911,-503,-4080
3464,-2872,3486,2392,-256,-171,-4048
-528,9610,12204,-981,97,-148,-4080
-2490,-1786,868,985,-3,-361,-4080
3264,3188,4558,-1472,-387,-3,-4048
3038,2258,6126,425,1302,401,-4064
-4082,-14598,12778,981,-891,-412,-4080
2702,9802,18576,-745,476,186,-4080
-1346,-3946,5238,2067,718,-293,-4064
-3718,5942,16682,-2807,-983,-548,-4064
86,514,2724,2138,571,-16,-4064
2742,-9028,4134,-1481,-861,-271,-4096
-2148,5832,17540,-265,630,211,-4064
-114,-4710,-1950,1854,466,-163,-4064
920,2882,12678,-3005,-545,-168,-4096
-2010,1354,11536,1008,517,3,-4064
-2,-10554,7254,-1913,-935,-564,-4096
3654,-402,2368,2913,623,45,-4112
-702,2962,9876,-2231,-364,-398,-4048
-2642,1294,8440,1387,-266,-262,-4080
4208,-1874,4708,-1328,284,231,-4080
-5088,-8196,17810,-2292,-206,-313,-4080
3040,-904,-4762,2327,748,-40,-4064
2260,3508,5746,-3154,345,-178,-4080
-1934,9064,7366,1520,678,-370,-4064
1208,-7044,898,-1206,-645,-299,-4064
-2264,3790,15642,-1092,-747,-264,-4096
5286,-3156,-3840,2859,1298,259,-4064
-3266,-5678,11702,-1961,-932,-259,-4064
-1058,7070,17180,834,203,-63,-4032
2438,-4498,246,146,534,13,-4064
-4176,90,17024,-1269,-795,-425,-4064
1646,-11064,9466,1477,-668,-326,-4064
-720,9450,12914,481,541,-27,-4064
-2164,-3470,3258,120,-129,-419,-4064
4778,-2814,2352,-1311,205,221,-4080
-5434,-9364,19436,-2809,-63,-254,-4080
3846,-456,-6620,3003,982,12,-4064
2138,1432,5088,-3703,200,-214,-4032
-2218,10760,9274,1325,630,-388,-4032
1610,-6954,-820,-751,-464,-267,-4096
-2718,4410,17746,-1326,-754,-233,-4080
5322,-1966,-4404,3051,1373,302,-4080
-3182,-6462,10116,-2428,-982,-263,-4080
-964,7512,17786,1172,243,-80,-4080
2594,-4864,-56,-73,501,20,-4048
-4296,124,17112,-1036,-753,-365,-4048
2010,-11362,9146,1329,-749,-346,-4048
1958,10444,4336,967,682,5,-4064
-2130,-3616,1400,174,-107,-442,-4080
96,4906,12192,-575,-667,-65,-4064
1988,4886,7398,1336,1290,449,-4064
-5350,-11156,18352,-1055,-1274,-490,-4096
