AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-7078,-4876,11370,1138,-836,170,-2320
7094,-13130,4916,-3196,3529,-736,-2288
4720,13922,-5572,-818,-120,-349,-2336
-3030,-3622,23516,4709,-3008,-237,-2336
5528,10470,-1984,-4533,2897,194,-2288
6802,4838,-3694,494,357,-412,-2320
-9042,-10806,25270,1384,-651,277,-2336
1792,7374,3140,-982,325,84,-2320
1480,-3598,8584,-1156,1100,-396,-2352
-7502,-4176,9866,1020,-725,213,-2320
11446,8798,-11516,-1178,-754,-591,-2320
-2664,-19748,27316,3145,-779,-280,-2304
4670,11662,-8318,-5004,2609,-254,-2336
3626,6014,-1332,4895,-3140,-86,-2288
986,566,5792,-1799,1213,52,-2320
9736,5006,-9788,-2599,2620,-308,-2336
-6818,-6684,15016,3917,-2620,72,-2336
1934,7816,2226,-2232,1022,-4,-2320
1822,-4914,5914,-844,1122,-373,-2320
-9194,-2618,12492,2118,-1792,238,-2288
11500,-26,-10014,-3759,1416,-650,-2336
-8604,-13978,30632,5899,-3470,-999,-2304
2908,-512,-3130,-5011,3072,-69,-2320
7412,10342,-4484,2646,-1617,57,-2320
470,-4018,16256,545,-315,9,-2304
6460,204,-4216,-4313,4009,-5,-2304
-3144,-314,7524,3669,-2646,197,-2304
2940,7144,2644,-2142,978,-106,-2320
200,-7976,8646,-370,1048,-179,-2320
-8964,4026,14312,2586,-2795,139,-2336
7848,-9952,2304,-5323,3445,-738,-2304
-6304,-736,15274,5582,-3462,-869,-2288
-534,-9232,16628,520,-68,73,-2304
5988,10862,-400,-2716,1716,328,-2336
6522,3572,3042,2510,-1278,-348,-2304
206,-5796,7362,-2120,2080,367,-2288
-52,4846,4626,757,-725,232,-2288
3708,1056,4792,-1857,1106,-417,-2304
-8924,-6684,13414,1150,-324,-19,-2336
-4648,11240,11516,1075,-2655,-195,-2336
2402,-16830,17868,-1864,2613,-636,-2288
4616,12030,-5990,-693,153,-422,-2288
-5382,-11182,32416,3824,-2504,46,-2272
3548,6044,1720,-3264,2002,213,-2320
8966,3756,-8404,-1758,2142,-267,-2320
-8786,-8654,18948,3219,-2214,204,-2320
3916,8248,3484,-1562,586,53,-2304
3138,-4230,4546,-1519,1663,-423,-2336
-9136,-3034,11148,2152,-1666,236,-2320
11094,5458,-9718,-2662,413,-609,-2352
-4342,-17038,27484,4578,-2099,-781,-2352
-1452,-9342,17594,-3146,1953,-25,-2320
6414,11866,-2604,-3314,2014,269,-2304
6316,2780,272,2073,-812,-363,-2320
-3184,-6250,12460,-1082,1062,44,-2288
1148,5684,3596,966,-955,254,-2304
3498,-1632,4670,-2494,1756,-438,-2304
-6136,-8620,12920,1607,-854,-9,-2288
-3436,11432,13078,1290,-2723,-322,-2320
1792,-17762,19258,-1681,2614,-359,-2288
3176,12788,-5618,-83,-425,-426,-2336
-5570,-10754,32767,4400,-2946,-156,-2304
3988,5192,2872,-4506,2878,153,-2320
7500,2978,-8650,453,477,-452,-2288
-7526,-10002,21272,1905,-1219,284,-2320
2956,9526,1670,-1070,309,10,-2336
428,-7572,9532,-1521,1566,-398,-2304
-7678,-4430,11092,1328,-1031,223,-2320
5134,14444,938,-475,-1440,-514,-2320
-7850,-17522,32767,2135,149,-658,-2304
2494,2910,-5512,-4606,2206,-161,-2304
-2682,-1400,21088,4609,-2881,-158,-2320
1272,-5594,17590,-640,643,81,-2320
5842,1464,-4708,-3866,3544,-74,-2320
-3096,-502,7838,4210,-2962,188,-2304
4176,8198,302,-2903,1641,-187,-2336
-1216,-7882,8978,221,510,-236,-2304
-8622,2310,15682,1997,-2100,221,-2320
12372,8768,-12462,-5410,3262,-784,-2320
-8786,-4276,19366,6419,-3958,-863,-2304
292,-10544,14438,-3362,2138,-88,-2336
5102,7386,-3554,671,-263,190,-2320
-572,-5712,26816,2753,-1694,-446,-2320
906,-4856,5096,-4524,3931,314,-2288
394,5380,3870,3152,-2203,152,-2304
3860,6196,3506,-2226,1228,-258,-2336
-3362,-7714,10602,446,390,-142,-2320
-5464,10554,14776,2435,-3141,-247,-2320
11458,-1890,-10248,-5540,4175,-564,-2304
-404,7258,130,4176,-2722,-552,-2336
-4798,-12214,32767,971,-278,191,-2304
8580,12018,-6884,-3065,1876,302,-2320
2268,196,15990,3105,-1709,-360,-2320
-6188,-9678,21062,-2668,2472,40,-2304
2022,8136,2974,1070,-912,258,-2336
3260,2950,7154,-1780,1109,-405,-2320
-6426,-6334,12210,794,-122,11,-2320
3792,13614,1224,1425,-2885,-167,-2320
6534,-12334,5560,-2212,2801,-418,-2304
5378,12710,-5402,-598,-86,-467,-2304
-4278,-4576,24748,3849,-2485,97,-2320
5644,10770,-1076,-4204,2597,214,-2320
7412,4502,-2242,567,193,-411,-2288
-9798,-10712,25794,978,-273,185,-2336
914,5778,3806,-665,93,174,-2320
3320,-610,5022,-1586,1255,-431,-2320
-8696,-5356,12526,1464,-866,133,-2320
9470,10146,-8776,-462,-1493,-378,-2304
-8016,-6962,22980,4622,-2187,-750,-2288
4522,11300,-7632,-5120,2984,-156,-2288
1790,4540,2768,3615,-2339,-60,-2352
560,-5244,24272,-396,327,15,-2304
9392,4068,-9774,-3784,3611,-206,-2320
-7868,-7892,17242,4351,-3065,167,-2320
4338,7630,3648,-2267,1076,-172,-2320
-2120,-8812,10914,-909,1419,-328,-2336
-9526,-2476,11692,2304,-2316,234,-2336
11136,2518,-9280,-4652,2538,-695,-2304
-2726,2440,8446,5687,-3263,-676,-2320
2450,2544,-4372,-3516,2238,-149,-2320
6980,9602,-4916,1469,-953,210,-2304
1978,-1988,21400,1566,-770,-256,-2304
5536,-568,-3812,-3759,3507,20,-2320
-3230,-1126,10014,3212,-2325,329,-2288
4644,6446,4332,-2446,1377,-294,-2320
-6888,-8438,13042,382,504,-106,-2336
-8480,2084,12598,2218,-2952,160,-2336
10350,-7146,-3490,-5172,3714,-809,-2288
2494,9414,-2902,4373,-2722,-595,-2320
-154,-7968,9550,-511,497,154,-2304
7764,12952,-4992,-2743,1626,292,-2304
5220,2056,5906,2838,-1408,-330,-2304
-402,-3910,6848,-2351,2140,271,-2320
546,4952,4234,1199,-1029,164,-2320
3494,150,5590,-2595,1715,-350,-2304
-5070,-9152,12808,1486,-626,-37,-2288
-5604,8686,15230,1913,-3060,-160,-2288
4910,-15962,11546,-3446,3756,-722,-2320
3846,13742,-5680,527,-808,-359,-2320
-4138,-11988,31488,3693,-2314,95,-2304
4634,7626,484,-4734,2982,293,-2304
7806,4272,-7520,1692,-473,-436,-2320
-5830,-9106,18638,753,-176,345,-2320
2448,9208,2770,-573,80,142,-2336
1480,-5424,8422,-1563,1325,-431,-2304
-6832,-5814,12118,1285,-852,125,-2320
1204,14098,6992,-656,-1267,-522,-2288
-4570,-19142,30910,2946,-610,-475,-2320
3008,8106,-5870,-4701,2416,-103,-2320
6476,8754,-4800,4761,-3042,24,-2320
1902,-2098,10896,-1556,1165,120,-2336
7732,2870,-8050,-3540,3324,-39,-2336
-4936,-3638,11252,4057,-2817,236,-2288
3134,8668,1908,-2434,1192,-54,-2320
316,-7730,8214,-396,999,-345,-2304
-8042,-542,11412,1659,-1622,277,-2304
