AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
560,-3530,12524,2919,-2310,-124,-3376
3540,2434,4866,-2002,1269,-271,-3376
4350,-3548,2676,-1164,1743,-320,-3392
-5238,-4266,11590,434,-593,174,-3424
2292,6904,6394,732,-733,-195,-3376
-1550,-5302,5708,-4732,3758,-3,-3408
-7740,132,23366,6151,-5430,-51,-3440
10010,-1176,-15270,-4211,3138,-581,-3392
-2262,-2110,22672,663,-123,-181,-3424
1094,-1474,12360,3024,-2033,-56,-3408
2154,4042,4736,-2483,1255,9,-3440
3628,952,11556,-105,359,-500,-3392
-2718,-3954,8094,-1249,1358,64,-3424
-2112,470,12652,2224,-1907,39,-3376
4762,5694,1700,-1272,825,-300,-3408
-3788,-7446,12236,-2856,2585,145,-3392
-1360,4134,16396,6013,-5452,-239,-3456
10226,722,-12486,-4889,4706,-398,-3408
-4062,-674,13396,1985,-1916,-296,-3408
1614,2284,6724,1756,-1067,-35,-3392
1642,5206,4826,-2358,1277,-144,-3408
3986,-1078,6318,-302,660,-410,-3408
-3792,-3816,9448,-791,691,132,-3408
-248,3502,9794,2371,-2241,-7,-3424
4744,4238,-2396,-2959,2315,-285,-3392
-6248,-9162,14330,-1054,1220,173,-3440
5608,2856,1964,5142,-4667,-404,-3440
6084,-2546,-5670,-4755,4416,-393,-3424
-4038,-344,11088,2737,-2318,-254,-3392
2490,6538,5162,976,-512,55,-3440
3222,1298,5786,-1853,1296,-271,-3408
4030,-4106,2912,-936,1460,-304,-3376
-4436,-4542,11984,50,-293,142,-3424
-1298,2458,11460,2955,-2447,-146,-3408
-1984,-4378,7768,-4825,3752,-75,-3408
-9256,-6028,19816,4340,-3794,98,-3408
10398,3582,-10532,-1913,872,-568,-3424
-1844,-2050,19578,-561,1057,-272,-3424
838,-3668,12042,3019,-1989,-9,-3440
1754,7250,4556,-1721,823,119,-3376
2410,-5060,5346,-760,1367,-211,-3408
-2538,-1554,13038,1521,-1304,132,-3440
4738,4678,1686,-59,22,-161,-3408
-4032,-7766,11116,-3720,3259,-49,-3424
-9920,932,24318,5625,-5208,-138,-3392
9514,-974,-10786,-3651,3475,-568,-3408
-3890,232,11382,1093,-907,-261,-3408
1616,-1706,11680,1684,-923,-57,-3376
2194,3250,5040,-1880,1005,-34,-3424
4842,-1212,4628,-177,350,-444,-3456
-1714,-4014,8488,-1378,1372,85,-3408
