AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
1804,-3352,828,-1131,1248,-656,-3376
1832,-88,1968,-276,398,9,-3408
3262,13638,9790,-2372,-408,-300,-3408
-6094,-11398,27182,2613,-961,56,-3344
7796,1024,-10230,-3231,2003,-356,-3408
2468,5712,3730,1472,-1134,72,-3376
-3006,-3636,10814,33,36,263,-3376
5124,4916,-1502,-1023,256,-12,-3408
670,-2090,7064,-640,1258,-465,-3408
-4928,-1560,12898,818,-1313,53,-3376
2420,-410,3354,435,312,-318,-3376
4276,1244,2496,-1136,972,-651,-3392
-6008,-884,18400,1289,-1100,-73,-3360
-144,-1166,11498,390,483,17,-3392
5816,13048,2966,-3075,218,-346,-3392
-9580,-7950,32767,3396,-1886,122,-3360
8158,-3654,-5536,-3377,2540,-440,-3392
3262,6044,-3846,1123,-981,101,-3392
-6206,-2434,20220,544,-607,292,-3392
6864,4150,-1584,-1240,702,-66,-3392
166,-3236,4174,-739,1288,-477,-3360
-7108,-5298,13018,1020,-1628,98,-3376
3326,418,2374,175,621,-340,-3376
3756,6,1124,-1093,965,-612,-3408
-5842,12,18390,1362,-1228,-22,-3376
2632,-2072,2214,404,640,16,-3376
6986,9572,-1388,-3018,418,-363,-3408
-10550,-5662,32767,3486,-2318,90,-3376
8080,-5806,-522,-3078,2534,-429,-3376
806,4452,15634,605,-685,28,-3376
-7580,-178,25118,769,-853,362,-3376
7228,4064,396,-1373,795,-122,-3376
-548,-3984,3312,-740,1273,-370,-3376
-2092,-500,10910,1101,-1887,62,-3376
3678,642,3238,80,626,-427,-3376
2886,-1952,142,-925,1488,-593,-3344
-4864,552,16116,1213,-1683,11,-3344
-1616,3112,16374,1188,87,-27,-3376
8124,7056,-5996,-3657,2017,-528,-3408
-10862,-2896,32422,4135,-3659,173,-3376
7346,-7490,4936,-2305,2880,-450,-3392
2812,3132,-7734,-357,3,72,-3392
-8634,998,28560,1259,-1695,464,-3360
7982,3992,1238,-1764,1336,-299,-3392
-2488,-4270,4374,-659,1118,-330,-3360
-282,-440,8646,986,-1831,41,-3392
3900,1206,4194,78,591,-406,-3392
2386,-3108,-250,-1035,1634,-577,-3392
-3762,1480,14192,1370,-1916,37,-3392
2110,-2652,5004,1060,266,-20,-3376
8534,3688,-10426,-3802,1904,-503,-3408
-9716,-730,28634,4257,-3705,161,-3376
6104,-7610,11208,-2091,2959,-422,-3376
2946,5814,3876,-608,292,83,-3376
-9334,2102,30284,1431,-1962,445,-3376
7478,2100,3044,-1784,1491,-321,-3376
-3352,-4998,3924,-458,941,-289,-3376
-6104,-2358,14706,948,-1675,59,-3344
3838,2130,5046,29,580,-442,-3408
1344,-4722,1130,-908,1617,-581,-3376
-2124,1936,10016,1100,-1826,42,-3376
1084,-2520,8614,1348,8,-24,-3392
8478,-132,-12624,-4075,2277,-531,-3360
-7374,2138,21438,4325,-3899,177,-3392
3706,-7630,19020,-1973,2981,-385,-3392
4244,6866,-2858,-1030,532,39,-3392
-2386,2266,3594,560,-1127,260,-3408
8,-2326,7538,-329,860,-404,-3408
1194,-1048,7088,798,-910,-160,-3360
3438,5628,9616,-606,393,-563,-3376
-3928,-5902,13644,547,542,-271,-3408
2372,-1222,1396,-426,-190,27,-3376
-1958,10958,20202,-232,-1747,-178,-3408
1616,-17022,7544,119,2199,-145,-3408
7038,7762,-13748,-1900,-379,-112,-3408
348,3736,19926,2418,-1182,-54,-3408
2132,-2802,-4848,-1147,2040,78,-3376
-292,3154,188,791,-1346,321,-3392
3678,-506,10638,-886,1247,-515,-3392
-6676,-4830,11112,242,27,12,-3392
1882,-1236,5064,758,-603,-162,-3392
3738,4864,8420,-632,420,-597,-3392
-4960,-4428,15676,571,309,-243,-3360
1954,-2504,3530,-287,-117,-20,-3360
-416,13418,17124,-705,-1542,-200,-3360
-884,-15784,15014,595,1710,-119,-3360
7660,6566,-13770,-2840,565,-227,-3408
874,4726,14326,2483,-1363,-9,-3376
678,-3918,-886,-861,1457,129,-3344
1602,3858,-734,97,-723,209,-3408
2632,-1060,9808,-842,1457,-533,-3392
-6082,-3136,11932,483,-472,94,-3392
1834,-1220,4412,682,-248,-220,-3392
4290,3970,6246,-791,529,-588,-3360
-6026,-3878,17676,897,-117,-194,-3360
1610,-2166,4994,-116,157,28,-3392
1834,14222,13496,-1550,-1067,-259,-3360
-4038,-13492,22422,1510,506,-42,-3392
7718,2772,-11626,-2963,978,-277,-3392
-426,-690,26924,2203,-1192,-3,-3408
-1756,-3904,6430,-491,980,237,-3392
4244,3698,-1434,78,-612,223,-3376
1370,-1972,7720,-863,1361,-516,-3376
-6466,-6118,8806,716,-881,76,-3376
2346,-356,3086,438,152,-307,-3360
1220,-3990,1568,-1015,1202,-611,-3392
-6248,-1500,18758,1137,-1374,-61,-3392
624,-1810,8918,966,233,49,-3360
8050,-974,-9948,-3512,1286,-501,-3360
-8144,-9904,31526,3829,-2723,112,-3376
8144,-1668,-7958,-2504,2826,-424,-3360
2730,5834,532,5,-264,94,-3360
-8326,1860,26282,718,-887,371,-3376
5978,5156,-1550,-1559,853,-175,-3376
-4728,-5372,6506,-421,802,-228,-3376
-4464,-940,12462,689,-1413,-13,-3376
3444,2334,7730,90,328,-465,-3408
608,-4748,1990,-748,1710,-500,-3344
-894,1452,7990,813,-1652,26,-3408
-426,668,11738,1219,-836,-99,-3376
7048,-6606,-8686,-2934,2759,-536,-3424
-2950,4118,9654,3070,-3343,194,-3424
2502,-4254,20694,-500,1932,-326,-3392
2524,4200,-2558,-1254,1297,65,-3360
-6926,2716,19822,1383,-2103,473,-3392
6616,874,7422,-1324,1368,-368,-3360
-6178,-6442,6936,-575,968,-228,-3392
-2682,-896,11710,938,-1589,-19,-3360
2806,3460,9742,-57,364,-517,-3360
-2,-6080,3782,-583,1671,-506,-3392
-5050,108,17950,839,-1717,25,-3376
-1234,1606,15360,1523,-754,-50,-3408
6642,-10360,-9100,-3194,3179,-573,-3376
8238,6596,-14394,-2091,-323,-129,-3376
-6,-3222,27018,2431,-918,-69,-3408
-144,-4236,376,-891,1418,115,-3392
1954,3340,-1988,155,-716,220,-3392
3092,-488,8052,-1023,1288,-586,-3376
-6852,-6590,7984,521,-463,71,-3376
2242,4166,11406,48,506,-470,-3376
-418,-7386,5156,-306,1654,-405,-3376
1992,2032,1312,-566,-288,-24,-3376
-60,14872,17434,-56,-1914,-152,-3424
-3414,-15162,22010,78,2228,-142,-3392
2388,7268,-2954,-1424,-772,-27,-3408
-1492,-1498,30256,2485,-1101,-103,-3376
-1070,-5298,4472,-1225,2149,61,-3408
4006,4204,-4074,617,-1191,287,-3376
5676,-274,11150,-790,1165,-544,-3376
-6470,-6324,7166,265,-1,16,-3408
2650,14,2372,695,-595,-185,-3408
4622,3524,5804,-828,408,-594,-3376
-1860,-6282,9034,793,336,-214,-3376
2062,602,1688,-570,32,29,-3376
2152,15918,12270,-509,-1746,-172,-3376
-6574,-12816,29288,2,2354,-183,-3360
4918,9068,-9400,-2031,-413,-133,-3392
-1842,202,29652,2700,-1303,-94,-3392
-2954,-5094,10784,-1268,2182,52,-3424
5334,4990,-4666,526,-1100,264,-3392
5430,200,11764,-833,1168,-508,-3392
-6672,-6504,8910,340,-179,18,-3360
2876,266,1522,536,-421,-217,-3360
3046,5018,11250,-543,266,-583,-3408
-2884,-6396,10504,799,280,-173,-3392
2502,20,982,-442,-132,15,-3376
3966,14568,8186,-318,-1724,-178,-3376
3564,-16208,990,151,2017,-185,-3376
6012,8864,-11404,-2080,-251,-128,-3408
-938,2312,24948,2464,-1173,-88,-3376
-4808,-3636,16598,-968,1890,79,-3344
-2288,1948,2960,405,-916,259,-3408
4618,188,11236,-785,1103,-555,-3376
-6674,-6150,10968,403,-217,25,-3376
3070,182,1800,474,-357,-191,-3376
3080,5260,10892,-674,323,-552,-3408
-1158,1464,8292,1002,-1690,49,-3392
-2092,10838,20074,1415,-1362,-71,-3392
1670,-17258,7014,-2017,3462,-463,-3376
-4628,3788,13052,858,-2411,125,-3376
2278,-5720,22716,1480,119,-243,-3376
2188,-2488,-6156,-1879,2620,46,-3376
-1136,2698,1538,1730,-2371,403,-3376
7030,1104,6544,-1244,1593,-503,-3408
-4954,-5722,5540,-50,480,-59,-3408
2060,-868,4348,710,-1079,-107,-3408
3482,5290,9728,-135,218,-487,-3392
430,-5596,2804,-258,1478,-409,-3360
-410,1562,6364,186,-1120,34,-3392
