AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
322,-768,7544,-1212,1031,-210,-3024
-2436,-3688,8702,-310,368,-69,-3008
-2624,-3842,7878,394,-282,-219,-3024
-1362,-62,6820,467,-651,-130,-3024
470,566,7536,175,-509,-240,-3056
1324,-118,7044,179,-225,-122,-3008
734,70,7806,197,-33,-183,-3040
72,484,7296,91,0,-139,-3056
-450,732,8082,29,-125,-200,-3040
466,-20,8478,-47,-127,-133,-3040
844,-628,8534,-29,22,-121,-3056
834,-434,7698,-114,329,-126,-3024
238,-316,6898,-120,355,-253,-3056
-418,456,7998,-97,237,-460,-3040
-584,0,8468,-70,138,-383,-3040
-48,-614,7498,-170,46,-29,-3024
-132,-514,8354,33,-47,-173,-3056
-742,-2010,8964,373,-218,-106,-3040
-2036,-1264,8830,734,-609,146,-3040
-1170,86,8606,703,-926,162,-3024
-170,242,8212,444,-975,-403,-3056
2900,898,7468,300,-253,-187,-3040
3136,2498,6470,-275,327,-204,-3056
2668,1448,7084,-520,820,-23,-3056
1028,1384,7634,-752,1045,-74,-3040
250,530,8930,-928,1060,-73,-3008
-326,-94,8832,-1054,954,-59,-3024
-336,-104,8170,-1152,985,-239,-3024
-1978,-3474,8488,-499,556,-112,-3040
-2336,-3798,7760,333,-172,-99,-3040
-2486,-1772,8686,656,-699,-143,-3024
-254,-58,8350,313,-627,-289,-3056
1036,-220,8588,188,-285,-160,-3056
930,60,8228,236,-19,-91,-3040
-84,266,8512,183,-19,-153,-3008
-578,190,8590,83,-38,-154,-3024
440,-246,8784,-105,-119,-203,-3056
908,-406,7968,-53,-21,-77,-3040
1122,-504,7998,-48,177,-56,-3040
116,-380,7514,-56,313,-239,-3024
-376,138,8048,-43,227,-350,-3024
-372,154,8138,-82,167,-229,-3024
-522,-214,7716,-117,14,-119,-3040
-196,-706,8004,76,-47,-199,-3040
-338,-1492,8336,240,-161,-69,-3024
-1726,-1696,8630,641,-500,108,-3024
-1360,-240,8602,760,-843,152,-3024
194,668,7916,514,-992,-284,-3008
2020,596,7680,336,-473,-197,-3040
3232,2182,6020,-140,206,-243,-3024
2786,1830,6544,-543,668,-73,-3056
1992,1320,7034,-644,1044,-209,-3072
240,1070,8042,-916,1031,-132,-3040
-208,376,8238,-1094,961,-113,-3056
-72,-350,9094,-1069,961,-128,-3024
-2082,-3940,8202,-543,587,-128,-3040
-2536,-4066,8308,210,-102,-111,-3008
-1932,-1186,7546,573,-662,-217,-3040
176,370,7644,261,-529,-249,-3008
1024,-50,8142,175,-248,-135,-3024
712,-140,8436,194,-57,-122,-3024
220,234,7798,110,61,-117,-3056
-404,388,8738,75,-12,-185,-3040
-122,436,8570,-58,-122,-188,-3008
740,-594,7912,-89,-86,-257,-3040
938,-798,8140,-61,175,-69,-3056
608,-294,7134,-5,250,-194,-3024
-432,88,8036,0,187,-403,-3072
-284,140,7512,-64,129,-448,-3040
-374,-2,7782,-73,-10,-55,-3024
130,-668,8448,76,-5,-194,-3024
-276,-1380,8624,247,-145,-68,-3040
-1552,-1694,8832,616,-460,137,-3040
-1552,-476,8990,693,-865,94,-3024
18,90,7986,516,-956,-279,-3040
2560,978,7754,403,-435,-203,-3040
2844,2306,6244,-157,180,-100,-3024
2610,1880,6846,-498,643,-92,-3056
1192,1144,7432,-651,1003,-145,-3024
458,706,7718,-841,998,-99,-3008
-792,416,9190,-1003,896,-92,-3008
-398,-6,7768,-1061,861,-172,-3024
-622,-2008,9366,-752,765,-163,-3056
-2510,-4416,9526,123,-8,-111,-3072
-2390,-2206,8724,692,-583,-198,-3072
-686,662,7774,340,-576,-227,-3056
1054,282,8010,92,-316,-208,-3024
1272,-250,8120,127,-45,-158,-3040
-44,164,8162,183,21,-149,-3072
-172,136,7600,140,-29,-38,-3024
-144,448,8434,-22,-124,-225,-3056
666,-284,8348,-81,-82,-170,-3024
1096,-376,7562,-71,58,-103,-3008
780,-140,7016,-106,310,-150,-3040
-94,-110,7104,-85,310,-374,-3024
-142,226,7284,-106,197,-342,-3024
-572,86,8210,-53,56,-53,-3040
134,-832,8322,-45,26,-198,-3040
-92,-1204,7974,20,-59,-142,-3040
-776,-2176,8448,464,-309,-29,-3040
-1688,-672,8534,743,-718,134,-3024
-756,738,7972,572,-956,-80,-3040
1922,384,6868,331,-618,-262,-3040
3190,1472,6258,-1,29,-186,-3056
3100,2274,6072,-466,576,-176,-3024
2186,1370,6850,-607,996,-57,-3024
230,1296,7546,-931,984,-109,-3040
-222,450,8296,-1078,985,-142,-3024
-252,-392,9188,-1075,930,-122,-2992
-904,-2294,9590,-814,803,-130,-3008
-2550,-4044,8804,165,-48,-65,-3040
-2424,-1740,8278,647,-584,-172,-3024
-86,394,7708,292,-559,-220,-3056
828,192,7874,153,-367,-245,-3072
1302,-152,7546,192,-113,-211,-3040
338,550,7938,188,61,-117,-3024
-252,556,8494,136,-55,-112,-3056
-110,364,7776,-43,-172,-204,-3072
804,56,8156,-106,-92,-169,-3040
1336,-102,7670,-147,161,-96,-3024
838,-26,6812,-198,404,-143,-3056
60,140,6518,-142,334,-335,-3056
-396,688,7696,-122,199,-398,-3040
-774,116,8682,-119,96,-13,-3040
90,-1534,8384,-17,12,-169,-3024
-474,-1344,8806,141,-83,-54,-3056
-980,-2250,8918,514,-314,-91,-3072
-1996,-692,8748,734,-778,199,-3040
-584,14,8202,636,-1000,-88,-3024
1240,444,7286,408,-748,-288,-3056
3368,1684,6140,70,23,-221,-3024
2938,2442,5964,-468,496,-118,-3040
2656,1086,7138,-549,973,-48,-3056
508,1688,7850,-877,1059,-135,-3056
-264,236,9038,-959,977,-110,-3024
-428,-470,9416,-1024,876,-149,-3024
534,-852,7934,-1050,1014,-153,-3072
-2672,-3918,9054,-109,209,-56,-3072
-3022,-2728,8902,644,-550,-239,-3056
-508,480,8186,336,-634,-272,-3024
1348,-142,8220,143,-361,-158,-3040
1394,-68,7416,178,-130,-102,-3040
518,362,7048,152,-10,-146,-3056
-220,774,7934,107,-47,-179,-3024
-214,720,7946,-61,-154,-185,-3056
604,-14,8560,-80,-59,-131,-3040
1374,-474,7348,-99,114,-83,-3072
956,-480,7184,-156,339,-141,-3056
-64,100,7304,-125,354,-281,-3056
-332,278,7692,-114,261,-317,-3040
-698,-526,8908,15,80,-87,-3024
-130,-862,8364,-81,29,-215,-3056
-346,-718,8444,70,-82,-172,-3024
-1146,-2020,8352,484,-292,-74,-3008
-2020,-1288,9226,786,-760,203,-3040
-1102,350,8798,667,-981,-19,-3040
1496,498,7300,424,-847,-383,-2992
3190,1138,7506,164,-113,-182,-3056
3298,2126,6364,-349,433,-210,-3040
2622,1460,7252,-572,947,-42,-3072
758,1624,7934,-797,1041,-134,-3024
180,472,9186,-944,1057,-89,-3056
-108,-410,9126,-1077,967,-79,-3040
-414,-1460,8742,-1146,977,-51,-3040
-2304,-3328,8048,-375,399,-207,-3056
-2492,-3572,7788,434,-281,-161,-3024
-888,738,7190,418,-654,-141,-3040
708,562,7568,181,-481,-227,-3008
914,-166,8104,143,-195,-158,-3056
966,106,7482,148,11,-107,-3024
162,468,7550,105,47,-123,-3008
-502,624,7996,-35,-96,-153,-3024
412,70,8210,-101,-101,-133,-3056
1052,-560,8494,-67,50,-83,-3024
862,-494,7600,-74,279,-69,-3056
86,-580,8114,-31,308,-230,-3024
-526,168,8452,-81,194,-469,-3040
-680,-318,8012,-49,98,-174,-3040
-108,-852,7316,-88,-19,-137,-3024
-180,-560,8402,93,-52,-114,-3024
-598,-2108,8542,390,-233,-83,-3040
-1944,-640,8762,704,-679,213,-3040
-1238,138,8772,667,-904,89,-3024
776,562,7510,432,-918,-416,-3024
3322,1584,6298,234,-218,-210,-3024
3246,2134,6542,-289,346,-239,-3040
2760,1354,7038,-528,830,-11,-3040
820,1524,7500,-761,1093,-92,-3024
262,864,8032,-950,1029,-8,-3056
-268,340,8400,-1119,955,-151,-3040
472,-448,7388,-1256,1044,-180,-3008
-1920,-3500,9208,-467,551,-129,-3056
-2524,-3806,7760,276,-137,-116,-3024
-1656,-178,6852,552,-661,-213,-3040
514,606,7294,120,-450,-253,-3040
1348,-42,7426,113,-144,-165,-3024
656,-108,8120,156,19,-113,-3056
-68,374,7306,85,12,-104,-3040
-366,560,7802,-53,-35,-183,-3040
202,240,8644,-116,-73,-156,-3056
926,-642,8012,-36,-37,-33,-3056
758,-584,7932,-41,190,-208,-3072
4,-212,7048,-44,292,-256,-3008
-256,-412,7548,28,169,-386,-3056
-580,-40,8814,25,44,-266,-3024
-254,-626,7900,-79,-51,-87,-3056
140,-856,7876,81,-65,-188,-3040
-282,-1784,8678,292,-149,-104,-3072
-1774,-1614,9012,656,-501,69,-3056
-1670,-26,8272,682,-805,114,-3024
-228,326,7484,475,-946,-342,-3072
2372,502,7764,367,-421,-254,-3040
3114,2174,7028,-172,221,-249,-3040
2676,2134,5894,-515,721,-148,-3024
